    nm         	pN
5.935772e+001	1.236756e+001
5.932236e+001	9.216279e+000
5.926523e+001	5.276668e+000
5.922730e+001	9.207838e+000
5.915647e+001	9.989066e+000
5.903787e+001	4.471566e+000
5.891254e+001	1.314529e+000
5.879546e+001	3.666705e+000
5.864572e+001	2.868965e+000
5.847457e+001	1.282900e+000
5.827841e+001	-1.878665e+000
5.810576e+001	3.617761e+000
5.790459e+001	6.751539e+000
5.767875e+001	8.309795e+000
5.743956e+001	1.065415e+001
5.718718e+001	1.378467e+001
5.690313e+001	1.376530e+001
5.661740e+001	1.689365e+001
5.629662e+001	1.608498e+001
5.592609e+001	8.190506e+000
5.550602e+001	-6.789737e+000
5.506268e+001	-2.334540e+001
5.468200e+001	-2.337091e+001
5.429714e+001	-2.103585e+001
5.388970e+001	-2.027608e+001
5.347112e+001	-1.873007e+001
5.304909e+001	-1.482338e+001
5.264998e+001	-3.045675e+000
5.224797e+001	1.109276e+001
5.176137e+001	1.027358e+001
5.126127e+001	9.453557e+000
5.073679e+001	6.271123e+000
5.017706e+001	-1.635299e+000
4.961219e+001	-7.968143e+000
4.902389e+001	-1.666333e+001
4.844602e+001	-2.063611e+001
4.789380e+001	-1.673761e+001
4.736015e+001	-6.542264e+000
4.680814e+001	2.077998e+000
4.620834e+001	2.825653e+000
4.557972e+001	-3.632783e-001
4.497856e+001	4.319125e+000
4.440150e+001	1.608570e+001
4.378185e+001	2.076697e+001
4.312000e+001	1.836294e+001
4.244989e+001	1.595837e+001
4.176816e+001	1.276615e+001
4.106407e+001	6.424669e+000
4.037153e+001	4.018768e+000
3.972077e+001	1.184601e+001
3.901161e+001	8.652095e+000
3.828172e+001	2.309068e+000
3.755760e+001	-1.672656e+000
3.683968e+001	-3.293112e+000
3.611348e+001	-5.701054e+000
3.541670e+001	-1.024427e+000
3.463799e+001	-1.287918e+001
3.389515e+001	-1.646860e+001
3.314949e+001	-2.005802e+001
3.244803e+001	-1.380767e+001
3.174837e+001	-6.770235e+000
3.104348e+001	-5.200549e-001
3.031891e+001	1.794069e+000
2.957884e+001	9.594280e-001
2.886468e+001	5.635191e+000
2.813217e+001	6.374992e+000
2.738921e+001	4.753298e+000
2.667350e+001	8.642068e+000
2.597802e+001	1.646695e+001
2.526969e+001	2.114323e+001
2.453405e+001	1.952212e+001
2.380134e+001	1.790123e+001
2.305336e+001	1.234457e+001
2.228683e+001	2.065005e+000
2.152080e+001	-9.001419e+000
2.076317e+001	-1.928036e+001
2.001063e+001	-2.955891e+001
1.931576e+001	-2.881632e+001
1.865663e+001	-2.177576e+001
1.800386e+001	-1.473479e+001
1.735785e+001	-7.693339e+000
1.670039e+001	-4.587360e+000
1.604306e+001	-3.055294e+000
1.537508e+001	-5.458673e+000
1.473410e+001	-3.925466e+000
1.409445e+001	-3.966089e+000
1.346767e+001	-3.218903e+000
1.283924e+001	-4.832659e+000
1.222818e+001	-4.871361e+000
1.163856e+001	-2.547799e+000
1.108566e+001	5.286838e+000
1.051022e+001	6.037447e+000
9.942402e+000	6.001615e+000
9.401162e+000	9.115364e+000
8.860765e+000	9.868301e+000
8.332712e+000	1.062206e+001
7.806151e+000	9.015060e+000
7.288838e+000	6.621696e+000
6.792266e+000	5.803627e+000
6.316720e+000	6.560828e+000
5.836416e+000	3.382980e+000
5.400066e+000	6.503622e+000
4.985592e+000	1.119961e+001
4.541093e+000	6.450186e+000
4.096628e+000	-1.447025e+000
3.700877e+000	-2.258478e+000
3.354082e+000	4.015826e+000
3.030382e+000	1.186556e+001
2.722546e+000	1.971633e+001
2.408429e+000	2.284498e+001
2.125485e+000	2.912344e+001
1.862728e+000	3.619021e+001
1.597977e+000	3.932207e+001
1.376109e+000	4.796539e+001
1.171210e+000	5.660981e+001
9.871458e-001	6.604257e+001
8.203312e-001	7.547641e+001
6.597175e-001	8.254980e+001
5.426797e-001	9.513473e+001
4.357885e-001	1.061464e+002
3.167893e-001	1.108616e+002
2.267505e-001	1.179395e+002
1.620140e-001	1.265931e+002
1.152028e-001	1.352477e+002
8.263400e-002	1.431163e+002
4.200262e-002	1.454758e+002
2.314291e-002	1.486235e+002
0.000000e+000	1.470501e+002
