    nm         	pN
5.956970e+001	-1.902437e+001
5.955669e+001	-1.745365e+001
5.955543e+001	-9.586041e+000
5.953986e+001	-9.329743e-001
5.949137e+001	4.568903e+000
5.941001e+001	6.919555e+000
5.930702e+001	8.481113e+000
5.917500e+001	7.678761e+000
5.903641e+001	9.236632e+000
5.888759e+001	1.236737e+001
5.865039e+001	5.369021e-001
5.839200e+001	-1.208270e+001
5.816844e+001	-1.368133e+001
5.794255e+001	-1.213235e+001
5.771077e+001	-8.223072e+000
5.748070e+001	-3.788647e-001
5.725622e+001	1.218770e+001
5.701142e+001	2.396527e+001
5.669803e+001	2.471838e+001
5.635352e+001	2.232053e+001
5.600045e+001	2.149570e+001
5.562783e+001	1.988195e+001
5.520236e+001	1.039321e+001
5.475034e+001	-1.459057e+000
5.430929e+001	-7.801531e+000
5.387573e+001	-9.421436e+000
5.342381e+001	-1.183012e+001
5.297618e+001	-1.030360e+001
5.250702e+001	-1.035317e+001
5.202033e+001	-1.119149e+001
5.154249e+001	-7.307090e+000
5.105146e+001	-3.424012e+000
5.052888e+001	-3.478924e+000
5.002354e+001	2.763571e+000
4.946867e+001	1.131491e+000
4.888323e+001	-4.438472e+000
4.831601e+001	-3.710859e+000
4.776362e+001	2.526941e+000
4.719288e+001	7.189063e+000
4.655571e+001	4.001069e-002
4.590089e+001	-8.684756e+000
4.529590e+001	-4.813026e+000
4.467400e+001	-2.516891e+000
4.403934e+001	-1.009009e+000
4.340718e+001	2.860056e+000
4.275930e+001	5.153585e+000
4.211099e+001	9.021076e+000
4.144031e+001	9.738496e+000
4.072901e+001	3.369135e+000
4.001106e+001	-3.000813e+000
3.933158e+001	7.665913e-002
3.865000e+001	3.940944e+000
3.789593e+001	-6.367367e+000
3.714435e+001	-1.510149e+001
3.644783e+001	-1.123866e+001
3.574719e+001	-7.376147e+000
3.505032e+001	-1.939293e+000
3.433716e+001	7.414465e-001
3.362118e+001	3.422187e+000
3.288233e+001	1.772250e+000
3.211918e+001	-4.601889e+000
3.137318e+001	-7.039395e+000
3.063357e+001	-7.902351e+000
2.987846e+001	-1.191466e+001
2.914181e+001	-1.199024e+001
2.845017e+001	-2.617638e+000
2.777042e+001	9.117033e+000
2.707321e+001	1.691524e+001
2.636270e+001	2.156425e+001
2.563189e+001	2.148951e+001
2.490357e+001	2.141506e+001
2.417072e+001	1.976628e+001
2.341888e+001	1.339388e+001
2.265966e+001	4.659876e+000
2.189350e+001	-6.435681e+000
2.116182e+001	-1.123203e+001
2.046131e+001	-1.051637e+001
1.977004e+001	-9.012804e+000
1.909962e+001	-4.359231e+000
1.841691e+001	-3.641621e+000
1.773353e+001	-4.498008e+000
1.704614e+001	-7.715590e+000
1.637006e+001	-1.014499e+001
1.568705e+001	-1.572294e+001
1.505342e+001	-1.263925e+001
1.444718e+001	-5.617923e+000
1.382029e+001	-4.894356e+000
1.321039e+001	-2.595039e+000
1.261039e+001	-2.946765e-001
1.203185e+001	4.368742e+000
1.144904e+001	5.883973e+000
1.084369e+001	3.142976e-001
1.025714e+001	-3.679434e+000
9.719526e+000	2.013623e-001
9.186487e+000	2.508809e+000
8.688152e+000	9.541576e+000
8.176404e+000	1.106429e+001
7.655274e+000	7.864358e+000
7.136255e+000	2.303773e+000
6.649446e+000	6.813344e-001
6.172784e+000	-1.727016e+000
5.699093e+000	-6.495877e+000
5.247283e+000	-9.688554e+000
4.821339e+000	-1.051772e+001
4.428967e+000	-7.408617e+000
4.055505e+000	-3.510566e+000
3.697470e+000	3.890835e-001
3.366261e+000	6.652353e+000
3.054646e+000	1.370463e+001
2.755382e+000	1.997126e+001
2.446304e+000	2.072817e+001
2.146238e+000	1.991215e+001
1.877716e+000	2.224714e+001
1.640905e+000	2.773329e+001
1.424793e+000	3.400854e+001
1.248151e+000	4.500960e+001
1.107395e+000	5.994909e+001
9.467551e-001	6.701701e+001
7.812554e-001	6.936272e+001
6.408100e-001	7.328486e+001
5.366982e-001	8.114558e+001
4.354670e-001	8.585875e+001
3.148253e-001	8.270040e+001
2.046595e-001	7.796921e+001
1.161912e-001	7.402719e+001
3.829100e-002	6.851233e+001
-2.927372e-003	6.693605e+001
0.000000e+000	7.087085e+001
