    nm         	pN
5.934724e+001	-1.268950e+001
5.931938e+001	-1.425740e+001
5.930326e+001	-9.531105e+000
5.928772e+001	-8.701604e-001
5.922070e+001	7.149568e-001
5.910967e+001	-3.202800e+000
5.897331e+001	-8.691145e+000
5.883030e+001	-1.181772e+001
5.868815e+001	-1.100964e+001
5.855068e+001	-5.480455e+000
5.840683e+001	2.410380e+000
5.823436e+001	7.944151e+000
5.799616e+001	3.256152e+000
5.775194e+001	9.297681e-001
5.750183e+001	9.650357e-001
5.722364e+001	-1.356893e+000
5.691754e+001	-6.035994e+000
5.663952e+001	-1.275395e+000
5.635256e+001	5.060319e+000
5.601217e+001	3.533477e+000
5.563717e+001	-1.923599e+000
5.527243e+001	-1.873370e+000
5.486606e+001	-7.326387e+000
5.441084e+001	-1.985558e+001
5.397774e+001	-2.451814e+001
5.358562e+001	-1.738182e+001
5.319750e+001	-6.311313e+000
5.278761e+001	3.188162e+000
5.235620e+001	1.111656e+001
5.185145e+001	6.463215e+000
5.132950e+001	1.025184e+000
5.079435e+001	-4.411070e+000
5.026121e+001	-6.699893e+000
4.975271e+001	-1.122413e+000
4.922825e+001	3.670140e+000
4.865092e+001	-1.868686e-001
4.802851e+001	-1.112055e+001
4.740975e+001	-1.890698e+001
4.683965e+001	-1.410858e+001
4.627019e+001	-6.949419e+000
4.567568e+001	-2.934805e+000
4.507880e+001	2.653950e+000
4.446506e+001	6.671001e+000
4.382738e+001	7.543287e+000
4.316988e+001	6.057308e+000
4.251156e+001	6.145279e+000
4.181559e+001	-5.743431e-002
4.113077e+001	-2.326948e+000
4.045749e+001	-6.632504e-001
3.976267e+001	-2.144570e+000
3.906535e+001	-2.838633e+000
3.837336e+001	-1.172630e+000
3.770948e+001	7.572215e+000
3.702573e+001	1.317181e+001
3.631882e+001	1.483963e+001
3.558919e+001	1.257558e+001
3.484285e+001	7.559342e+000
3.411279e+001	6.672598e+000
3.337993e+001	5.785855e+000
3.267913e+001	1.217434e+001
3.195033e+001	1.305771e+001
3.119771e+001	9.222451e+000
3.046637e+001	1.010610e+001
2.975676e+001	1.570854e+001
2.899860e+001	1.108685e+001
2.822583e+001	3.319266e+000
2.749100e+001	3.416158e+000
2.677968e+001	8.231610e+000
2.606996e+001	1.304685e+001
2.535856e+001	1.707521e+001
2.463477e+001	1.795739e+001
2.388784e+001	1.333387e+001
2.313311e+001	6.350424e+000
2.238962e+001	9.393505e-001
2.168014e+001	1.819357e+000
2.097904e+001	3.485193e+000
2.025325e+001	-1.141397e+000
1.951435e+001	-9.701126e+000
1.880744e+001	-1.275642e+001
1.811060e+001	-1.502617e+001
1.743541e+001	-1.415097e+001
1.678227e+001	-1.013098e+001
1.614788e+001	-3.752563e+000
1.551401e+001	1.051758e+000
1.485129e+001	-2.009684e+000
1.417500e+001	-9.791175e+000
1.353763e+001	-1.128216e+001
1.291350e+001	-1.198797e+001
1.230671e+001	-1.112226e+001
1.172508e+001	-7.112055e+000
1.116524e+001	-7.439442e-001
1.059033e+001	1.174503e-001
1.000069e+001	-4.527932e+000
9.418993e+000	-9.961400e+000
8.845586e+000	-1.618299e+001
8.299400e+000	-1.926034e+001
7.780761e+000	-1.919357e+001
7.308585e+000	-1.205035e+001
6.864573e+000	-1.763076e+000
6.411791e+000	3.803585e+000
5.943087e+000	3.076692e+000
5.447572e+000	-6.303268e+000
4.992524e+000	-1.017991e+001
4.581926e+000	-7.766768e+000
4.197417e+000	-2.996262e+000
3.839242e+000	4.131596e+000
3.489032e+000	9.684495e+000
3.154451e+000	1.523529e+001
2.794774e+000	1.213286e+001
2.462323e+000	1.138763e+001
2.198238e+000	2.165075e+001
1.976655e+000	3.741702e+001
1.734468e+000	4.531632e+001
1.486735e+000	4.849461e+001
1.278288e+000	5.638948e+001
1.098101e+000	6.664142e+001
9.351476e-001	7.689108e+001
7.746669e-001	8.399258e+001
6.279430e-001	9.030530e+001
5.099680e-001	9.897508e+001
3.947850e-001	1.044966e+002
3.048134e-001	1.115888e+002
2.140642e-001	1.147462e+002
1.337790e-001	1.163284e+002
6.772302e-002	1.171217e+002
2.339013e-002	1.186991e+002
1.569825e-002	1.242064e+002
0.000000e+000	1.242059e+002
