    nm         	pN
5.893154e+001	-2.433687e+000
5.888874e+001	-7.157422e+000
5.884652e+001	-7.946336e+000
5.881233e+001	-3.226288e+000
5.875641e+001	7.060950e-001
5.866391e+001	7.025046e-001
5.855351e+001	6.983258e-001
5.841409e+001	-1.667660e+000
5.822712e+001	-1.033084e+001
5.803366e+001	-1.663336e+001
5.785242e+001	-1.663983e+001
5.765745e+001	-1.585978e+001
5.744141e+001	-1.586737e+001
5.723796e+001	-9.578897e+000
5.703234e+001	-1.426551e-001
5.675392e+001	-2.513120e+000
5.647737e+001	-9.487528e-001
5.622893e+001	1.006002e+001
5.591193e+001	1.004918e+001
5.555264e+001	4.528268e+000
5.518851e+001	1.368084e+000
5.481602e+001	-2.184617e-001
5.443912e+001	5.557427e-001
5.406177e+001	4.477738e+000
5.367675e+001	9.973432e+000
5.326568e+001	1.310740e+001
5.282137e+001	1.230552e+001
5.237762e+001	1.465151e+001
5.191979e+001	1.699703e+001
5.144817e+001	1.934210e+001
5.094442e+001	1.775138e+001
5.038277e+001	6.715275e+000
4.983058e+001	4.012596e-001
4.931050e+001	3.531760e+000
4.877072e+001	5.087709e+000
4.819293e+001	1.133760e+000
4.762218e+001	1.114824e+000
4.702527e+001	-2.052781e+000
4.640630e+001	-7.581965e+000
4.579541e+001	-9.176088e+000
4.516690e+001	-1.234468e+001
4.456583e+001	-7.642809e+000
4.398512e+001	3.355398e+000
4.337674e+001	1.041793e+001
4.272245e+001	9.609421e+000
4.204871e+001	6.439391e+000
4.138572e+001	7.204553e+000
4.068546e+001	1.672836e+000
3.995578e+001	-8.581560e+000
3.924924e+001	-1.253953e+001
3.854018e+001	-1.571063e+001
3.783275e+001	-1.730773e+001
3.713854e+001	-1.496963e+001
3.644309e+001	-1.184456e+001
3.572072e+001	-1.344210e+001
3.500915e+001	-1.189147e+001
3.430506e+001	-7.979718e+000
3.360144e+001	-3.280996e+000
3.289502e+001	1.417726e+000
3.218249e+001	5.329238e+000
3.146430e+001	8.453674e+000
3.072972e+001	8.429730e+000
3.000899e+001	1.155407e+001
2.930627e+001	1.861382e+001
2.856242e+001	1.701572e+001
2.776297e+001	3.611457e+000
2.699405e+001	-3.496132e+000
2.627472e+001	-3.716359e-001
2.555327e+001	1.965807e+000
2.483015e+001	3.516257e+000
2.410951e+001	5.066815e+000
2.337318e+001	2.682109e+000
2.264395e+001	1.084587e+000
2.189988e+001	-4.448175e+000
2.118612e+001	-4.471254e+000
2.052546e+001	5.737835e+000
1.982891e+001	7.289282e+000
1.912297e+001	5.692577e+000
1.843041e+001	5.670242e+000
1.774421e+001	5.648135e+000
1.706477e+001	5.626256e+000
1.638506e+001	4.030476e+000
1.569802e+001	-7.133238e-001
1.501897e+001	-5.456896e+000
1.438554e+001	-2.329410e+000
1.378323e+001	5.520838e+000
1.312674e+001	-8.873919e-003
1.247233e+001	-7.112452e+000
1.187626e+001	-3.983705e+000
1.129790e+001	7.195679e-001
1.072274e+001	3.849023e+000
1.015483e+001	6.191798e+000
9.598272e+000	8.534932e+000
9.038485e+000	7.730156e+000
8.490718e+000	6.925775e+000
7.944116e+000	3.760560e+000
7.372930e+000	-7.274968e+000
6.829617e+000	-1.516178e+001
6.344293e+000	-1.360323e+001
5.868817e+000	-1.283129e+001
5.384858e+000	-1.678139e+001
4.929945e+000	-1.758267e+001
4.534158e+000	-8.938546e+000
4.100900e+000	-1.131302e+001
3.663950e+000	-1.762240e+001
3.305509e+000	-1.055096e+001
2.973664e+000	-1.117742e+000
2.679812e+000	1.303843e+001
2.409272e+000	2.876928e+001
2.169705e+000	4.764897e+001
1.942679e+000	6.574213e+001
1.735837e+000	8.462289e+001
1.515826e+000	9.720760e+001
1.301440e+000	1.074316e+002
1.133822e+000	1.239528e+002
1.013111e+000	1.467712e+002
8.947467e-001	1.664418e+002
7.714067e-001	1.813906e+002
6.432080e-001	1.916174e+002
5.139792e-001	1.979094e+002
3.875448e-001	2.010537e+002
2.714404e-001	2.026244e+002
1.508327e-001	1.994733e+002
8.912521e-002	2.049806e+002
6.400890e-002	2.144238e+002
3.083124e-002	2.183581e+002
1.197185e-002	2.215059e+002
0.000000e+000	2.222927e+002
