    nm         	pN
5.955918e+001	-6.981937e-001
5.953499e+001	-1.489558e+000
5.948529e+001	-3.857561e+000
5.941009e+001	-7.802096e+000
5.933552e+001	-7.811822e+000
5.925043e+001	-6.248728e+000
5.914744e+001	-4.687519e+000
5.903405e+001	-1.553476e+000
5.886937e+001	-5.507425e+000
5.868701e+001	-9.463224e+000
5.850944e+001	-8.696728e+000
5.831066e+001	-8.719436e+000
5.809082e+001	-9.531321e+000
5.787984e+001	-4.833500e+000
5.761825e+001	-7.223646e+000
5.730992e+001	-1.591432e+001
5.701463e+001	-1.830797e+001
5.675865e+001	-8.893083e+000
5.646762e+001	-3.416651e+000
5.613801e+001	-2.666042e+000
5.577747e+001	-5.066407e+000
5.541976e+001	-3.531712e+000
5.506881e+001	2.725422e+000
5.469132e+001	6.618983e+000
5.429126e+001	8.936276e+000
5.386514e+001	8.889973e+000
5.340949e+001	5.692733e+000
5.298049e+001	1.115489e+001
5.252623e+001	1.425359e+001
5.201717e+001	8.689992e+000
5.153188e+001	1.099846e+001
5.099984e+001	6.219488e+000
5.042509e+001	-4.859605e+000
4.987503e+001	-8.066500e+000
4.934251e+001	-4.975879e+000
4.878687e+001	-4.248482e+000
4.823828e+001	4.144204e-001
4.767098e+001	3.501487e+000
4.708161e+001	4.225450e+000
4.650031e+001	8.885038e+000
4.590884e+001	1.354365e+001
4.528521e+001	1.347715e+001
4.465586e+001	1.419701e+001
4.401745e+001	1.491601e+001
4.333312e+001	7.760644e+000
4.261443e+001	-4.906989e+000
4.190277e+001	-1.442604e+001
4.122089e+001	-1.607232e+001
4.056549e+001	-1.063316e+001
3.990342e+001	-5.194665e+000
3.925002e+001	3.392587e+000
3.857961e+001	9.617226e+000
3.788143e+001	1.111727e+001
3.717829e+001	1.261689e+001
3.645940e+001	1.175394e+001
3.576248e+001	1.640208e+001
3.502647e+001	1.357006e+001
3.429560e+001	1.250918e+001
3.356191e+001	1.144829e+001
3.279697e+001	4.285118e+000
3.203381e+001	-2.090834e+000
3.130643e+001	-5.934478e-001
3.058918e+001	3.265866e+000
2.985269e+001	3.188475e+000
2.910486e+001	7.491196e-001
2.835730e+001	-1.690223e+000
2.764028e+001	2.169367e+000
2.691698e+001	4.454443e+000
2.620646e+001	9.101735e+000
2.550918e+001	1.611136e+001
2.480693e+001	2.154659e+001
2.405544e+001	1.595931e+001
2.329615e+001	8.010339e+000
2.257046e+001	6.360642e+000
2.183782e+001	2.349367e+000
2.109495e+001	-4.810733e+000
2.038698e+001	-5.671455e+000
1.971062e+001	-1.020164e+000
1.904764e+001	5.206529e+000
1.835375e+001	3.560447e+000
1.764427e+001	-2.809010e+000
1.696805e+001	-3.666177e+000
1.631059e+001	-2.160505e+000
1.564621e+001	-3.803321e+000
1.495295e+001	-1.331873e+001
1.427590e+001	-2.125849e+001
1.364528e+001	-2.132374e+001
1.303909e+001	-1.823851e+001
1.244282e+001	-1.515226e+001
1.184191e+001	-1.521427e+001
1.126655e+001	-1.212574e+001
1.073199e+001	-2.737202e+000
1.018642e+001	1.928426e+000
9.626448e+000	1.083879e+000
9.078498e+000	2.406885e-001
8.554072e+000	1.760830e+000
8.023685e+000	-6.544005e-001
7.483917e+000	-7.792321e+000
6.957439e+000	-1.492881e+001
6.470625e+000	-1.655240e+001
5.990231e+000	-1.974920e+001
5.546347e+000	-1.822041e+001
5.135523e+000	-1.275332e+001
4.717028e+000	-1.200874e+001
4.317198e+000	-1.047523e+001
3.925100e+000	-1.051481e+001
3.537249e+000	-1.291479e+001
3.213490e+000	-5.077550e+000
2.920504e+000	5.910702e+000
2.628689e+000	1.375134e+001
2.330787e+000	1.686960e+001
2.060530e+000	2.235166e+001
1.795731e+000	2.547342e+001
1.562644e+000	3.174638e+001
1.372616e+000	4.353257e+001
1.188519e+000	5.295853e+001
1.006770e+000	5.923691e+001
8.200429e-001	6.079304e+001
6.545415e-001	6.313839e+001
5.140948e-001	6.706026e+001
3.950761e-001	7.177138e+001
3.012970e-001	7.805906e+001
2.179189e-001	8.277391e+001
1.375640e-001	8.434129e+001
7.518029e-002	8.591053e+001
1.591201e-002	8.433230e+001
-2.947799e-003	8.748002e+001
0.000000e+000	9.141914e+001
