    nm         	pN
5.944957e+001	2.038395e+000
5.940301e+001	-3.479249e+000
5.938684e+001	1.237701e+000
5.933399e+001	2.014764e+000
5.922213e+001	-5.872841e+000
5.910348e+001	-1.140056e+001
5.899301e+001	-1.141843e+001
5.889079e+001	-5.926433e+000
5.875590e+001	-3.586792e+000
5.859214e+001	-3.612045e+000
5.839590e+001	-6.789676e+000
5.819709e+001	-6.819780e+000
5.798094e+001	-6.852274e+000
5.775128e+001	-6.099660e+000
5.753810e+001	1.737823e+000
5.729680e+001	7.210593e+000
5.697910e+001	8.142631e-002
5.665598e+001	-4.687566e+000
5.632764e+001	-7.096445e+000
5.597933e+001	-1.029499e+001
5.564483e+001	-7.195967e+000
5.528705e+001	-5.674061e+000
5.490623e+001	-5.729225e+000
5.452495e+001	-2.636562e+000
5.412482e+001	-3.335225e-001
5.369117e+001	-1.969854e+000
5.324291e+001	-3.608191e+000
5.279147e+001	-2.886041e+000
5.233340e+001	-5.909141e-001
5.185408e+001	1.274170e-001
5.137616e+001	3.993816e+000
5.085522e+001	1.558580e+000
5.031392e+001	-2.453332e+000
4.976376e+001	-5.679476e+000
4.923488e+001	-1.819994e+000
4.871270e+001	5.975197e+000
4.811184e+001	-4.056666e-001
4.751090e+001	-4.425672e+000
4.691024e+001	-6.084698e+000
4.631768e+001	-3.807752e+000
4.571493e+001	-1.532222e+000
4.509864e+001	-4.546232e-002
4.447291e+001	1.440097e+000
4.384558e+001	4.499341e+000
4.319096e+001	3.620042e+000
4.254296e+001	5.889592e+000
4.188336e+001	7.370600e+000
4.120883e+001	7.275677e+000
4.055704e+001	1.347960e+001
3.990232e+001	2.047017e+001
3.919291e+001	1.722275e+001
3.847021e+001	1.239963e+001
3.776074e+001	1.151315e+001
3.704257e+001	9.838582e+000
3.630866e+001	5.801009e+000
3.555945e+001	-5.994638e-001
3.486059e+001	4.417987e+000
3.415755e+001	9.238002e+000
3.345170e+001	1.405802e+001
3.271272e+001	1.238087e+001
3.199044e+001	1.464097e+001
3.126294e+001	1.611341e+001
3.051203e+001	1.286094e+001
2.974932e+001	7.245993e+000
2.897901e+001	5.613744e-002
2.823506e+001	-1.621261e+000
2.751047e+001	6.388621e-001
2.679450e+001	4.474124e+000
2.608015e+001	8.309723e+000
2.536784e+001	1.214567e+001
2.462449e+001	8.894729e+000
2.386169e+001	9.193812e-001
2.313209e+001	-7.555919e-001
2.242120e+001	7.198802e-001
2.170335e+001	-1.663469e-001
2.098645e+001	-1.839387e+000
2.027091e+001	-4.299155e+000
1.956089e+001	-6.758108e+000
1.885681e+001	-9.216111e+000
1.815163e+001	-1.324817e+001
1.747558e+001	-1.255440e+001
1.679552e+001	-1.422195e+001
1.614169e+001	-1.195101e+001
1.551075e+001	-6.529007e+000
1.484719e+001	-9.768011e+000
1.421476e+001	-8.280903e+000
1.361758e+001	-1.280138e+000
1.304856e+001	9.659338e+000
1.243356e+001	8.788193e+000
1.182137e+001	6.343531e+000
1.122729e+001	5.475400e+000
1.064047e+001	3.821357e+000
1.006127e+001	1.381425e+000
9.467661e+000	-6.569149e+000
8.897262e+000	-1.215558e+001
8.380207e+000	-9.077947e+000
7.879553e+000	-5.211128e+000
7.365789e+000	-6.854736e+000
6.857864e+000	-1.007139e+001
6.382154e+000	-9.348728e+000
5.924047e+000	-7.836655e+000
5.439096e+000	-1.498479e+001
4.972301e+000	-2.134344e+001
4.535104e+000	-2.455006e+001
4.157575e+000	-1.830484e+001
3.806414e+000	-9.695075e+000
3.452047e+000	-5.020524e+000
3.113329e+000	-3.437653e-001
2.805390e+000	7.485169e+000
2.498622e+000	1.216643e+001
2.211856e+000	1.763750e+001
1.986283e+000	3.256060e+001
1.766169e+000	4.512360e+001
1.547956e+000	5.453902e+001
1.342990e+000	6.316938e+001
1.147685e+000	7.022719e+001
9.770909e-001	7.886238e+001
8.350620e-001	8.986245e+001
6.993532e-001	9.850251e+001
5.737951e-001	1.055701e+002
4.510329e-001	1.094903e+002
3.386059e-001	1.118380e+002
2.254006e-001	1.102508e+002
1.413083e-001	1.110285e+002
9.009882e-002	1.149587e+002
4.200511e-002	1.157415e+002
8.236850e-003	1.157393e+002
0.000000e+000	1.173153e+002
