    nm         	pN
3.601313e-003	-1.916153e+001
2.404153e-002	-1.759046e+001
6.253838e-002	-9.722632e+000
1.190686e-001	-1.069181e+000
1.935965e-001	4.433429e+000
2.860808e-001	6.785186e+000
3.964627e-001	8.348100e+000
5.246776e-001	7.547418e+000
6.706470e-001	9.107030e+000
8.342832e-001	1.223963e+001
1.015486e+000	4.119948e-001
1.214150e+000	-1.220452e+001
1.430154e+000	-1.380046e+001
1.663365e+000	-1.224877e+001
1.913647e+000	-8.336717e+000
2.180847e+000	-4.897587e-001
2.464802e+000	1.207949e+001
2.765347e+000	2.386000e+001
3.082294e+000	2.461677e+001
3.415457e+000	2.222296e+001
3.764632e+000	2.140223e+001
4.129611e+000	1.979283e+001
4.510174e+000	1.030900e+001
4.906089e+000	-1.538046e+000
5.317121e+000	-7.875441e+000
5.743021e+000	-9.490337e+000
6.183534e+000	-1.189382e+001
6.638392e+000	-1.036214e+001
7.107321e+000	-1.040632e+001
7.590041e+000	-1.123905e+001
8.086259e+000	-7.349166e+000
8.595677e+000	-3.460468e+000
9.117989e+000	-3.509413e+000
9.652880e+000	2.738859e+000
1.020003e+001	1.113106e+000
1.075910e+001	-4.450192e+000
1.132976e+001	-3.716119e+000
1.191167e+001	2.527974e+000
1.250448e+001	7.196592e+000
1.310782e+001	5.476853e-002
1.372134e+001	-8.662590e+000
1.434467e+001	-4.783991e+000
1.497742e+001	-2.480819e+000
1.561923e+001	-9.657561e-001
1.626969e+001	2.910453e+000
1.692843e+001	5.211308e+000
1.759504e+001	9.086124e+000
1.826912e+001	9.811108e+000
1.895027e+001	3.449757e+000
1.963808e+001	-2.912098e+000
2.033213e+001	1.730234e-001
2.103200e+001	4.044982e+000
2.173727e+001	-6.254864e+000
2.244752e+001	-1.498054e+001
2.316232e+001	-1.110989e+001
2.388123e+001	-7.239521e+000
2.460384e+001	-1.794849e+000
2.532969e+001	8.939002e-001
2.605836e+001	3.582650e+000
2.678940e+001	1.940987e+000
2.752238e+001	-4.424627e+000
2.825685e+001	-6.853799e+000
2.899236e+001	-7.708481e+000
2.972849e+001	-1.171236e+001
3.046478e+001	-1.177971e+001
3.120078e+001	-2.399416e+000
3.193607e+001	9.342843e+000
3.267019e+001	1.714880e+001
3.340270e+001	2.180573e+001
3.413316e+001	2.173911e+001
3.486113e+001	2.167276e+001
3.558618e+001	2.003213e+001
3.630785e+001	1.366808e+001
3.702573e+001	4.942509e+000
3.773938e+001	-6.144546e+000
3.844836e+001	-1.093279e+001
3.915226e+001	-1.020938e+001
3.985064e+001	-8.698146e+000
4.054309e+001	-4.037165e+000
4.122919e+001	-3.312013e+000
4.190852e+001	-4.160847e+000
4.258068e+001	-7.370840e+000
4.324527e+001	-9.792784e+000
4.390187e+001	-1.536320e+001
4.455010e+001	-1.227253e+001
4.518957e+001	-5.244534e+000
4.581988e+001	-4.514087e+000
4.644067e+001	-2.208069e+000
4.705155e+001	9.886194e-002
4.765217e+001	4.768645e+000
4.824215e+001	6.290240e+000
4.882114e+001	7.272050e-001
4.938879e+001	-3.260102e+000
4.994477e+001	6.265539e-001
5.048873e+001	2.939813e+000
5.102035e+001	9.978007e+000
5.153930e+001	1.150629e+001
5.204529e+001	8.312016e+000
5.253799e+001	2.757087e+000
5.301712e+001	1.139920e+000
5.348238e+001	-1.263267e+000
5.393350e+001	-6.027000e+000
5.437020e+001	-9.214790e+000
5.479222e+001	-1.003937e+001
5.519931e+001	-6.926051e+000
5.559122e+001	-3.024013e+000
5.596771e+001	8.794545e-001
5.632856e+001	7.146242e+000
5.667356e+001	1.420182e+001
5.700248e+001	2.047163e+001
5.731514e+001	2.123178e+001
5.761135e+001	2.041894e+001
5.789092e+001	2.275674e+001
5.815370e+001	2.824533e+001
5.839951e+001	3.452282e+001
5.862822e+001	4.552565e+001
5.883968e+001	6.046651e+001
5.903377e+001	6.753603e+001
5.921038e+001	6.988339e+001
5.936938e+001	7.380691e+001
5.951070e+001	8.166861e+001
5.963424e+001	8.638270e+001
5.973993e+001	8.322550e+001
5.982771e+001	7.849534e+001
5.989752e+001	7.455409e+001
5.994931e+001	6.903991e+001
5.998307e+001	6.746389e+001
5.999877e+001	7.139869e+001
