    nm         	pN
3.601313e-003	-1.014115e+001
2.404153e-002	-1.171292e+001
6.253838e-002	-6.989514e+000
1.190686e-001	1.668597e+000
1.935965e-001	3.246545e+000
2.860808e-001	-6.820909e-001
3.964627e-001	-6.183452e+000
5.246776e-001	-9.323606e+000
6.706470e-001	-8.529013e+000
8.342832e-001	-3.012918e+000
1.015486e+000	4.864288e+000
1.214150e+000	1.038204e+001
1.430154e+000	5.672487e+000
1.663365e+000	3.324045e+000
1.913647e+000	3.336761e+000
2.180847e+000	9.899283e-001
2.464802e+000	-3.716407e+000
2.765347e+000	1.019336e+000
3.082294e+000	7.329461e+000
3.415457e+000	5.772538e+000
3.764632e+000	2.824524e-001
4.129611e+000	3.005725e-001
4.510174e+000	-5.188036e+000
4.906089e+000	-1.775694e+001
5.317121e+000	-2.245732e+001
5.743021e+000	-1.535532e+001
6.183534e+000	-4.318801e+000
6.638392e+000	5.144891e+000
7.107321e+000	1.303569e+001
7.590041e+000	8.338602e+000
8.086259e+000	2.855396e+000
8.595677e+000	-2.627136e+000
9.117989e+000	-4.962022e+000
9.652880e+000	5.714852e-001
1.020003e+001	5.318768e+000
1.075910e+001	1.412022e+000
1.132976e+001	-9.575126e+000
1.191167e+001	-1.741472e+001
1.250448e+001	-1.266534e+001
1.310782e+001	-5.555109e+000
1.372134e+001	-1.591517e+000
1.434467e+001	3.946060e+000
1.497742e+001	7.910528e+000
1.561923e+001	8.728250e+000
1.626969e+001	7.186061e+000
1.692843e+001	7.217798e+000
1.759504e+001	9.556814e-001
1.826912e+001	-1.372227e+000
1.895027e+001	2.340601e-001
1.963808e+001	-1.306435e+000
2.033213e+001	-2.059866e+000
2.103200e+001	-4.527260e-001
2.173727e+001	8.235645e+000
2.244752e+001	1.377715e+001
2.316232e+001	1.538493e+001
2.388123e+001	1.305897e+001
2.460384e+001	7.979454e+000
2.532969e+001	7.030737e+000
2.605836e+001	6.082020e+000
2.678940e+001	1.241119e+001
2.752238e+001	1.323291e+001
2.825685e+001	9.334017e+000
2.899236e+001	1.015588e+001
2.972849e+001	1.569839e+001
3.046478e+001	1.101273e+001
3.120078e+001	3.179973e+000
3.193607e+001	3.214928e+000
3.267019e+001	7.970460e+000
3.340270e+001	1.272596e+001
3.413316e+001	1.669447e+001
3.486113e+001	1.751579e+001
3.558618e+001	1.282950e+001
3.630785e+001	5.782661e+000
3.702573e+001	3.091822e-001
3.773938e+001	1.129689e+000
3.844836e+001	2.736757e+000
3.915226e+001	-1.950641e+000
3.985064e+001	-1.057223e+001
4.054309e+001	-1.368668e+001
4.122919e+001	-1.601469e+001
4.190852e+001	-1.519588e+001
4.258068e+001	-1.123038e+001
4.324527e+001	-4.904851e+000
4.390187e+001	-1.533303e-001
4.455010e+001	-3.269985e+000
4.518957e+001	-1.110779e+001
4.581988e+001	-1.265179e+001
4.644067e+001	-1.340945e+001
4.705155e+001	-1.259411e+001
4.765217e+001	-8.632101e+000
4.824215e+001	-2.310329e+000
4.882114e+001	-1.496486e+000
4.938879e+001	-6.190681e+000
4.994477e+001	-1.167224e+001
5.048873e+001	-1.794120e+001
5.102035e+001	-2.106360e+001
5.153930e+001	-2.103951e+001
5.204529e+001	-1.393503e+001
5.253799e+001	-3.684093e+000
5.301712e+001	1.845511e+000
5.348238e+001	1.080240e+000
5.393350e+001	-8.340331e+000
5.437020e+001	-1.225414e+001
5.479222e+001	-9.874402e+000
5.519931e+001	-5.135081e+000
5.559122e+001	1.963850e+000
5.596771e+001	7.488494e+000
5.632856e+001	1.301238e+001
5.667356e+001	9.880935e+000
5.700248e+001	9.109023e+000
5.731514e+001	1.935124e+001
5.761135e+001	3.510020e+001
5.789092e+001	4.298048e+001
5.815370e+001	4.613929e+001
5.839951e+001	5.401801e+001
5.862822e+001	6.425619e+001
5.883968e+001	7.449356e+001
5.903377e+001	8.158298e+001
5.921038e+001	8.788482e+001
5.936938e+001	9.654612e+001
5.951070e+001	1.020595e+002
5.963424e+001	1.091455e+002
5.973993e+001	1.122968e+002
5.982771e+001	1.138737e+002
5.989752e+001	1.146629e+002
5.994931e+001	1.162381e+002
5.998307e+001	1.217463e+002
5.999877e+001	1.217461e+002
