    nm         	pN
3.601313e-003	-1.839699e+000
2.404153e-002	-6.566291e+000
6.253838e-002	-7.358027e+000
1.190686e-001	-2.640429e+000
1.935965e-001	1.288495e+000
2.860808e-001	1.279718e+000
3.964627e-001	1.269535e+000
5.246776e-001	-1.103836e+000
6.706470e-001	-9.776608e+000
8.342832e-001	-1.608904e+001
1.015486e+000	-1.610482e+001
1.214150e+000	-1.533473e+001
1.430154e+000	-1.535327e+001
1.663365e+000	-9.075125e+000
1.913647e+000	3.506459e-001
2.180847e+000	-2.033652e+000
2.464802e+000	-4.830342e-001
2.765347e+000	1.051332e+001
3.082294e+000	1.048685e+001
3.415457e+000	4.948333e+000
3.764632e+000	1.770329e+000
4.129611e+000	1.655544e-001
4.510174e+000	9.213745e-001
4.906089e+000	4.824962e+000
5.317121e+000	1.030190e+001
5.743021e+000	1.341590e+001
6.183534e+000	1.259250e+001
6.638392e+000	1.491702e+001
7.107321e+000	1.724040e+001
7.590041e+000	1.956273e+001
8.086259e+000	1.794775e+001
8.595677e+000	6.884696e+000
9.117989e+000	5.441909e-001
9.652880e+000	3.649714e+000
1.020003e+001	5.179787e+000
1.075910e+001	1.198195e+000
1.132976e+001	1.151952e+000
1.191167e+001	-2.044171e+000
1.250448e+001	-7.602895e+000
1.310782e+001	-9.226137e+000
1.372134e+001	-1.242468e+001
1.434467e+001	-7.751446e+000
1.497742e+001	3.219095e+000
1.561923e+001	1.025268e+001
1.626969e+001	9.413090e+000
1.692843e+001	6.211095e+000
1.759504e+001	6.944808e+000
1.826912e+001	1.379900e+000
1.895027e+001	-8.909042e+000
1.963808e+001	-1.290044e+001
2.033213e+001	-1.610508e+001
2.103200e+001	-1.773563e+001
2.173727e+001	-1.543032e+001
2.244752e+001	-1.233809e+001
2.316232e+001	-1.396971e+001
2.388123e+001	-1.245263e+001
2.460384e+001	-8.574067e+000
2.532969e+001	-3.908535e+000
2.605836e+001	7.569849e-001
2.678940e+001	4.634996e+000
2.752238e+001	7.725665e+000
2.825685e+001	7.667210e+000
2.899236e+001	1.075772e+001
2.972849e+001	1.778449e+001
3.046478e+001	1.615150e+001
3.120078e+001	2.709775e+000
3.193607e+001	-4.433825e+000
3.267019e+001	-1.343000e+000
3.340270e+001	9.606888e-001
3.413316e+001	2.477348e+000
3.486113e+001	3.994236e+000
3.558618e+001	1.575139e+000
3.630785e+001	-5.638961e-002
3.702573e+001	-5.623879e+000
3.773938e+001	-5.680221e+000
3.844836e+001	4.498116e+000
3.915226e+001	6.017153e+000
3.985064e+001	4.387594e+000
4.054309e+001	4.333078e+000
4.122919e+001	4.279102e+000
4.190852e+001	4.225691e+000
4.258068e+001	2.598377e+000
4.324527e+001	-2.177280e+000
4.390187e+001	-6.952325e+000
4.455010e+001	-3.854139e+000
4.518957e+001	3.968299e+000
4.581988e+001	-1.591770e+000
4.644067e+001	-8.725596e+000
4.705155e+001	-5.624323e+000
4.765217e+001	-9.476721e-001
4.824215e+001	2.155305e+000
4.882114e+001	4.471975e+000
4.938879e+001	6.789545e+000
4.994477e+001	5.959070e+000
5.048873e+001	5.129581e+000
5.102035e+001	1.939317e+000
5.153930e+001	-9.122401e+000
5.204529e+001	-1.703408e+001
5.253799e+001	-1.549766e+001
5.301712e+001	-1.474737e+001
5.348238e+001	-1.871950e+001
5.393350e+001	-1.954145e+001
5.437020e+001	-1.091521e+001
5.479222e+001	-1.330931e+001
5.519931e+001	-1.963847e+001
5.559122e+001	-1.258311e+001
5.596771e+001	-3.164735e+000
5.632856e+001	1.097839e+001
5.667356e+001	2.669731e+001
5.700248e+001	4.556652e+001
5.731514e+001	6.364981e+001
5.761135e+001	8.252164e+001
5.789092e+001	9.509681e+001
5.815370e+001	1.053116e+002
5.839951e+001	1.218257e+002
5.862822e+001	1.446392e+002
5.883968e+001	1.643052e+002
5.903377e+001	1.792489e+002
5.921038e+001	1.894706e+002
5.936938e+001	1.957574e+002
5.951070e+001	1.988966e+002
5.963424e+001	2.004627e+002
5.973993e+001	1.973067e+002
5.982771e+001	2.028119e+002
5.989752e+001	2.122548e+002
5.994931e+001	2.161884e+002
5.998307e+001	2.193362e+002
5.999877e+001	2.201228e+002
