    nm         	pN
3.601313e-003	-3.007598e+000
2.404153e-002	-3.795996e+000
6.253838e-002	-6.159244e+000
1.190686e-001	-1.009723e+001
1.935965e-001	-1.010045e+001
2.860808e-001	-8.530141e+000
3.964627e-001	-6.960442e+000
5.246776e-001	-3.817202e+000
6.706470e-001	-7.758350e+000
8.342832e-001	-1.170011e+001
1.015486e+000	-1.091993e+001
1.214150e+000	-1.092747e+001
1.430154e+000	-1.172271e+001
1.663365e+000	-7.008870e+000
1.913647e+000	-9.379468e+000
2.180847e+000	-1.804733e+001
2.464802e+000	-2.041908e+001
2.765347e+000	-1.098507e+001
3.082294e+000	-5.487084e+000
3.415457e+000	-4.712195e+000
3.764632e+000	-7.086154e+000
4.129611e+000	-5.525257e+000
4.510174e+000	7.575973e-001
4.906089e+000	4.678717e+000
5.317121e+000	7.025142e+000
5.743021e+000	7.009783e+000
6.183534e+000	3.845529e+000
6.638392e+000	9.338797e+000
7.107321e+000	1.247035e+001
7.590041e+000	6.943427e+000
8.086259e+000	9.286898e+000
8.595677e+000	4.546172e+000
9.117989e+000	-6.491698e+000
9.652880e+000	-9.659110e+000
1.020003e+001	-6.530268e+000
1.075910e+001	-5.763052e+000
1.132976e+001	-1.060848e+000
1.191167e+001	2.066807e+000
1.250448e+001	2.832881e+000
1.310782e+001	7.533993e+000
1.372134e+001	1.223482e+001
1.434467e+001	1.221275e+001
1.497742e+001	1.297743e+001
1.561923e+001	1.374186e+001
1.626969e+001	6.635097e+000
1.692843e+001	-5.981526e+000
1.759504e+001	-1.545009e+001
1.826912e+001	-1.704801e+001
1.895027e+001	-1.156238e+001
1.963808e+001	-6.076977e+000
2.033213e+001	2.556565e+000
2.103200e+001	8.828637e+000
2.173727e+001	1.037804e+001
2.244752e+001	1.192734e+001
2.316232e+001	1.111515e+001
2.388123e+001	1.581246e+001
2.460384e+001	1.303234e+001
2.532969e+001	1.202304e+001
2.605836e+001	1.101375e+001
2.678940e+001	3.904404e+000
2.752238e+001	-2.417861e+000
2.825685e+001	-8.693438e-001
2.899236e+001	3.040368e+000
2.972849e+001	3.014695e+000
3.046478e+001	6.278027e-001
3.120078e+001	-1.759101e+000
3.193607e+001	2.150731e+000
3.267019e+001	4.486468e+000
3.340270e+001	9.183497e+000
3.413316e+001	1.624189e+001
3.486113e+001	2.172622e+001
3.558618e+001	1.619144e+001
3.630785e+001	8.295517e+000
3.702573e+001	6.696470e+000
3.773938e+001	2.736301e+000
3.844836e+001	-4.372020e+000
3.915226e+001	-5.183425e+000
3.985064e+001	-4.850635e-001
4.054309e+001	5.787716e+000
4.122919e+001	4.189859e+000
4.190852e+001	-2.130293e+000
4.258068e+001	-2.940521e+000
4.324527e+001	-1.389243e+000
4.390187e+001	-2.986020e+000
4.455010e+001	-1.245337e+001
4.518957e+001	-2.034625e+001
4.581988e+001	-2.036790e+001
4.644067e+001	-1.724081e+001
4.705155e+001	-1.411342e+001
4.765217e+001	-1.413399e+001
4.824215e+001	-1.100584e+001
4.882114e+001	-1.580578e+000
4.938879e+001	3.122527e+000
4.994477e+001	2.316441e+000
5.048873e+001	1.510848e+000
5.102035e+001	3.066918e+000
5.153930e+001	6.879989e-001
5.204529e+001	-6.412949e+000
5.253799e+001	-1.351344e+001
5.301712e+001	-1.510383e+001
5.348238e+001	-1.826790e+001
5.393350e+001	-1.670896e+001
5.437020e+001	-1.121406e+001
5.479222e+001	-1.044114e+001
5.519931e+001	-8.880643e+000
5.559122e+001	-8.893768e+000
5.596771e+001	-1.126763e+001
5.632856e+001	-3.408773e+000
5.667356e+001	7.598921e+000
5.700248e+001	1.545891e+001
5.731514e+001	1.859691e+001
5.761135e+001	2.409678e+001
5.789092e+001	2.723595e+001
5.815370e+001	3.352408e+001
5.839951e+001	4.532242e+001
5.862822e+001	5.476007e+001
5.883968e+001	6.105001e+001
5.903377e+001	6.261802e+001
5.921038e+001	6.497375e+001
5.936938e+001	6.890424e+001
5.951070e+001	7.362246e+001
5.963424e+001	7.991547e+001
5.973993e+001	8.463492e+001
5.982771e+001	8.620667e+001
5.989752e+001	8.777904e+001
5.994931e+001	8.620370e+001
5.998307e+001	8.935148e+001
5.999877e+001	9.328771e+001
