    nm         	pN
3.601313e-003	1.677053e+001
2.404153e-002	1.361308e+001
6.253838e-002	9.664802e+000
1.190686e-001	1.358951e+001
1.935965e-001	1.436051e+001
2.860808e-001	8.827268e+000
3.964627e-001	5.653719e+000
5.246776e-001	7.990345e+000
6.706470e-001	7.173296e+000
8.342832e-001	5.565460e+000
1.015486e+000	2.379243e+000
1.214150e+000	7.853766e+000
1.430154e+000	1.096235e+001
1.663365e+000	1.249259e+001
1.913647e+000	1.480742e+001
2.180847e+000	1.790688e+001
2.464802e+000	1.785284e+001
2.765347e+000	2.094634e+001
3.082294e+000	2.009881e+001
3.415457e+000	1.215975e+001
3.764632e+000	-2.870767e+000
4.129611e+000	-1.947934e+001
4.510174e+000	-1.955054e+001
4.906089e+000	-1.726161e+001
5.317121e+000	-1.655053e+001
5.743021e+000	-1.505450e+001
6.183534e+000	-1.119814e+001
6.638392e+000	5.319068e-001
7.107321e+000	1.462238e+001
7.590041e+000	1.374553e+001
8.086259e+000	1.286631e+001
8.595677e+000	9.621898e+000
9.117989e+000	1.649444e+000
9.652880e+000	-4.749948e+000
1.020003e+001	-1.351437e+001
1.075910e+001	-1.755512e+001
1.132976e+001	-1.372161e+001
1.191167e+001	-3.589074e+000
1.250448e+001	4.966308e+000
1.310782e+001	5.643608e+000
1.372134e+001	2.381032e+000
1.434467e+001	6.993020e+000
1.497742e+001	1.869200e+001
1.561923e+001	2.330081e+001
1.626969e+001	2.081949e+001
1.692843e+001	1.833672e+001
1.759504e+001	1.506501e+001
1.826912e+001	8.641515e+000
1.895027e+001	6.154969e+000
1.963808e+001	1.390643e+001
2.033213e+001	1.063005e+001
2.103200e+001	4.202227e+000
2.173727e+001	1.363870e-001
2.244752e+001	-1.567381e+000
2.316232e+001	-4.059547e+000
2.388123e+001	5.362657e-001
2.460384e+001	-1.140865e+001
2.532969e+001	-1.508421e+001
2.605836e+001	-1.875976e+001
2.678940e+001	-1.259055e+001
2.752238e+001	-5.633978e+000
2.825685e+001	5.347647e-001
2.899236e+001	2.765264e+000
2.972849e+001	1.845247e+000
3.046478e+001	6.438670e+000
3.120078e+001	7.094080e+000
3.193607e+001	5.386829e+000
3.267019e+001	9.193223e+000
3.340270e+001	1.693815e+001
3.413316e+001	2.153301e+001
3.486113e+001	1.982740e+001
3.558618e+001	1.812238e+001
3.630785e+001	1.247990e+001
3.702573e+001	2.112401e+000
3.773938e+001	-9.041826e+000
3.844836e+001	-1.940756e+001
3.915226e+001	-2.977227e+001
3.985064e+001	-2.910914e+001
4.054309e+001	-2.214387e+001
4.122919e+001	-1.517741e+001
4.190852e+001	-8.209635e+000
4.258068e+001	-5.178622e+000
4.324527e+001	-3.721438e+000
4.390187e+001	-6.200900e+000
4.455010e+001	-4.740606e+000
4.518957e+001	-4.853949e+000
4.581988e+001	-4.177959e+000
4.644067e+001	-5.863054e+000
4.705155e+001	-5.971054e+000
4.765217e+001	-3.714269e+000
4.824215e+001	4.057879e+000
4.882114e+001	4.743428e+000
4.938879e+001	4.643449e+000
4.994477e+001	7.696161e+000
5.048873e+001	8.388195e+000
5.102035e+001	9.082498e+000
5.153930e+001	7.416266e+000
5.204529e+001	4.964771e+000
5.253799e+001	4.090997e+000
5.301712e+001	4.794954e+000
5.348238e+001	1.563335e+000
5.393350e+001	4.635308e+000
5.437020e+001	9.285193e+000
5.479222e+001	4.486228e+000
5.519931e+001	-3.460504e+000
5.559122e+001	-4.315822e+000
5.596771e+001	1.920297e+000
5.632856e+001	9.734520e+000
5.667356e+001	1.755164e+001
5.700248e+001	2.064595e+001
5.731514e+001	2.689366e+001
5.761135e+001	3.393204e+001
5.789092e+001	3.703531e+001
5.815370e+001	4.565499e+001
5.839951e+001	5.427776e+001
5.862822e+001	6.369127e+001
5.883968e+001	7.310788e+001
5.903377e+001	8.016477e+001
5.921038e+001	9.273820e+001
5.936938e+001	1.037396e+002
5.951070e+001	1.084431e+002
5.963424e+001	1.155127e+002
5.973993e+001	1.241609e+002
5.982771e+001	1.328122e+002
5.989752e+001	1.406791e+002
5.994931e+001	1.430360e+002
5.998307e+001	1.461836e+002
5.999877e+001	1.446110e+002
