    nm         	pN
3.601313e-003	-4.054384e-001
2.404153e-002	-2.766657e+000
6.253838e-002	-4.060628e-001
1.190686e-001	1.167335e+000
1.935965e-001	-4.071556e-001
2.860808e-001	1.166002e+000
3.964627e-001	4.313072e+000
5.246776e-001	-5.131610e+000
6.706470e-001	-1.851140e+001
8.342832e-001	-2.244745e+001
1.015486e+000	-1.693988e+001
1.214150e+000	-8.284506e+000
1.430154e+000	-6.712021e+000
1.663365e+000	-5.139764e+000
1.913647e+000	-4.195959e-001
2.180847e+000	5.874354e+000
2.464802e+000	8.233339e+000
2.765347e+000	8.231262e+000
3.082294e+000	9.016034e+000
3.415457e+000	4.291819e+000
3.764632e+000	-2.006394e+000
4.129611e+000	-2.008892e+000
4.510174e+000	1.136414e+000
4.906089e+000	5.855634e+000
5.317121e+000	9.000759e+000
5.743021e+000	9.784810e+000
6.183534e+000	1.450375e+001
6.638392e+000	1.843554e+001
7.107321e+000	1.685848e+001
7.590041e+000	1.449426e+001
8.086259e+000	1.685187e+001
8.595677e+000	1.763539e+001
9.117989e+000	1.212301e+001
9.652880e+000	1.448039e+001
1.020003e+001	2.313350e+001
1.075910e+001	2.234281e+001
1.132976e+001	1.289514e+001
1.191167e+001	7.382476e+000
1.250448e+001	7.378525e+000
1.310782e+001	3.439514e+000
1.372134e+001	-5.221346e+000
1.434467e+001	-1.073438e+001
1.497742e+001	-1.073858e+001
1.561923e+001	-1.074286e+001
1.626969e+001	-1.468204e+001
1.692843e+001	-1.704737e+001
1.759504e+001	-1.311694e+001
1.826912e+001	-1.076045e+001
1.895027e+001	-9.978007e+000
1.963808e+001	-1.391743e+001
2.033213e+001	-1.785688e+001
2.103200e+001	-1.392665e+001
2.173727e+001	-5.274518e+000
2.244752e+001	-6.066170e+000
2.316232e+001	-1.236671e+001
2.388123e+001	-1.315851e+001
2.460384e+001	-8.047876e+000
2.532969e+001	-3.527533e+000
2.605836e+001	9.927982e-001
2.678940e+001	2.010381e-001
2.752238e+001	5.705089e+000
2.825685e+001	4.913317e+000
2.899236e+001	-3.748288e+000
2.972849e+001	-1.162296e+001
3.046478e+001	-1.162780e+001
3.120078e+001	-1.005871e+001
3.193607e+001	-1.406750e+000
3.267019e+001	4.097313e+000
3.340270e+001	9.445980e-001
3.413316e+001	-2.208081e+000
3.486113e+001	-4.573803e+000
3.558618e+001	-7.726445e+000
3.630785e+001	-1.402699e+001
3.702573e+001	-1.639263e+001
3.773938e+001	-1.639728e+001
3.844836e+001	-1.010607e+001
3.915226e+001	-6.962640e+000
3.985064e+001	-6.967179e+000
4.054309e+001	2.472041e+000
4.122919e+001	4.828552e+000
4.190852e+001	1.676222e+000
4.258068e+001	8.754643e+000
4.324527e+001	1.347225e+001
4.390187e+001	1.504191e+001
4.455010e+001	1.188979e+001
4.518957e+001	1.109870e+001
4.581988e+001	9.520622e+000
4.644067e+001	8.729666e+000
4.705155e+001	9.512673e+000
4.765217e+001	1.580474e+001
4.824215e+001	1.501388e+001
4.882114e+001	-1.516467e+000
4.938879e+001	-3.880965e+000
4.994477e+001	-7.032442e+000
5.048873e+001	-1.569283e+001
5.102035e+001	-2.041806e+001
5.153930e+001	-1.884747e+001
5.204529e+001	-1.019392e+001
5.253799e+001	-9.410004e+000
5.301712e+001	-8.626109e+000
5.348238e+001	2.771448e-002
5.393350e+001	6.320668e+000
5.437020e+001	9.465817e+000
5.479222e+001	4.741326e+000
5.519931e+001	-7.701096e-001
5.559122e+001	-3.920495e+000
5.596771e+001	-6.283827e+000
5.632856e+001	-8.647051e+000
5.667356e+001	-3.927280e+000
5.700248e+001	5.514390e+000
5.731514e+001	1.495619e+001
5.761135e+001	2.282419e+001
5.789092e+001	2.990536e+001
5.815370e+001	3.698652e+001
5.839951e+001	4.328084e+001
5.862822e+001	4.957539e+001
5.883968e+001	6.216577e+001
5.903377e+001	7.082140e+001
5.921038e+001	7.475522e+001
5.936938e+001	8.183718e+001
5.951070e+001	8.419734e+001
5.963424e+001	8.183568e+001
5.973993e+001	7.868719e+001
5.982771e+001	8.026063e+001
5.989752e+001	8.655623e+001
5.994931e+001	8.734295e+001
5.998307e+001	8.498189e+001
5.999877e+001	8.262105e+001
