    nm         	pN
3.601313e-003	2.301347e+000
2.404153e-002	-3.217630e+000
6.253838e-002	1.498600e+000
1.190686e-001	2.274185e+000
1.935965e-001	-5.616134e+000
2.860808e-001	-1.114671e+001
3.964627e-001	-1.116726e+001
5.246776e-001	-5.677759e+000
6.706470e-001	-3.341301e+000
8.342832e-001	-3.370348e+000
1.015486e+000	-6.552434e+000
1.214150e+000	-6.587053e+000
1.430154e+000	-6.624422e+000
1.663365e+000	-5.876948e+000
1.913647e+000	1.955720e+000
2.180847e+000	7.423099e+000
2.464802e+000	2.869554e-001
2.765347e+000	-4.489122e+000
3.082294e+000	-6.905193e+000
3.415457e+000	-1.011136e+001
3.764632e+000	-7.019642e+000
4.129611e+000	-5.505516e+000
4.510174e+000	-5.568966e+000
4.906089e+000	-2.484577e+000
5.317121e+000	-1.902069e-001
5.743021e+000	-1.835893e+000
6.183534e+000	-3.483884e+000
6.638392e+000	-2.771461e+000
7.107321e+000	-4.861922e-001
7.590041e+000	2.218600e-001
8.086259e+000	4.078004e+000
8.595677e+000	1.631624e+000
9.117989e+000	-2.391851e+000
9.652880e+000	-5.629739e+000
1.020003e+001	-1.781544e+000
1.075910e+001	6.002491e+000
1.132976e+001	-3.911489e-001
1.191167e+001	-4.423930e+000
1.250448e+001	-6.095709e+000
1.310782e+001	-3.831348e+000
1.372134e+001	-1.568618e+000
1.434467e+001	-9.491130e-002
1.497742e+001	1.377391e+000
1.561923e+001	4.423354e+000
1.626969e+001	3.530211e+000
1.692843e+001	5.786071e+000
1.759504e+001	7.253149e+000
1.826912e+001	7.143997e+000
1.895027e+001	1.333417e+001
1.963808e+001	2.031095e+001
2.033213e+001	1.704859e+001
2.103200e+001	1.221026e+001
2.173727e+001	1.130887e+001
2.244752e+001	9.619219e+000
2.316232e+001	5.566228e+000
2.388123e+001	-8.499629e-001
2.460384e+001	4.152826e+000
2.532969e+001	8.958083e+000
2.605836e+001	1.376334e+001
2.678940e+001	1.207073e+001
2.752238e+001	1.431571e+001
2.825685e+001	1.577294e+001
2.899236e+001	1.250477e+001
2.972849e+001	6.873901e+000
3.046478e+001	-3.320214e-001
3.120078e+001	-2.024947e+000
3.193607e+001	2.200828e-001
3.267019e+001	4.040419e+000
3.340270e+001	7.861139e+000
3.413316e+001	1.168227e+001
3.486113e+001	8.415873e+000
3.558618e+001	4.246632e-001
3.630785e+001	-1.265464e+000
3.702573e+001	1.952622e-001
3.773938e+001	-7.058548e-001
3.844836e+001	-2.393761e+000
3.915226e+001	-4.868359e+000
3.985064e+001	-7.341997e+000
4.054309e+001	-9.814566e+000
4.122919e+001	-1.386122e+001
4.190852e+001	-1.318141e+001
4.258068e+001	-1.486301e+001
4.324527e+001	-1.260555e+001
4.390187e+001	-7.196544e+000
4.455010e+001	-1.044923e+001
4.518957e+001	-8.975122e+000
4.581988e+001	-1.986629e+000
4.644067e+001	8.941175e+000
4.705155e+001	8.057410e+000
4.765217e+001	5.600187e+000
4.824215e+001	4.719880e+000
4.882114e+001	3.053817e+000
4.938879e+001	6.020336e-001
4.994477e+001	-7.360682e+000
5.048873e+001	-1.295875e+001
5.102035e+001	-9.891658e+000
5.153930e+001	-6.035021e+000
5.204529e+001	-7.689076e+000
5.253799e+001	-1.091606e+001
5.301712e+001	-1.020304e+001
5.348238e+001	-8.700235e+000
5.393350e+001	-1.585820e+001
5.437020e+001	-2.222629e+001
5.479222e+001	-2.544173e+001
5.519931e+001	-1.920406e+001
5.559122e+001	-1.060132e+001
5.596771e+001	-5.933830e+000
5.632856e+001	-1.263819e+000
5.667356e+001	6.559027e+000
5.700248e+001	1.123422e+001
5.731514e+001	1.669965e+001
5.761135e+001	3.161838e+001
5.789092e+001	4.417715e+001
5.815370e+001	5.358837e+001
5.839951e+001	6.221480e+001
5.862822e+001	6.926890e+001
5.883968e+001	7.790088e+001
5.903377e+001	8.889835e+001
5.921038e+001	9.753595e+001
5.936938e+001	1.046013e+002
5.951070e+001	1.085193e+002
5.963424e+001	1.108650e+002
5.973993e+001	1.092758e+002
5.982771e+001	1.100522e+002
5.989752e+001	1.139817e+002
5.994931e+001	1.147638e+002
5.998307e+001	1.147613e+002
5.999877e+001	1.163376e+002
