    ms         	pN
0.000000e+000	-1.079544e+001
7.812500e-003	-2.142205e+000
1.562500e-002	3.360982e+000
2.343750e-002	5.714167e+000
3.125000e-002	7.279051e+000
3.906250e-002	6.481059e+000
4.687500e-002	8.043529e+000
5.468751e-002	1.117925e+001
6.250000e-002	-6.430409e-001
7.031250e-002	-1.325368e+001
7.812501e-002	-1.484463e+001
8.593751e-002	-1.328788e+001
9.375001e-002	-9.370630e+000
1.015625e-001	-1.518485e+000
1.093750e-001	1.105577e+001
1.171875e-001	2.284183e+001
1.250000e-001	2.360587e+001
1.328125e-001	2.122011e+001
1.406250e-001	2.040766e+001
1.484375e-001	1.880701e+001
1.562500e-001	9.333273e+000
1.640625e-001	-2.502985e+000
1.718750e-001	-8.829873e+000
1.796875e-001	-1.043446e+001
1.875000e-001	-1.282715e+001
1.953125e-001	-1.128480e+001
2.031250e-001	-1.131774e+001
2.109375e-001	-1.213879e+001
2.187500e-001	-8.237434e+000
2.265625e-001	-4.336921e+000
2.343750e-001	-4.373269e+000
2.421875e-001	1.887167e+000
2.500000e-001	2.748513e-001
2.578125e-001	-5.274218e+000
2.656250e-001	-4.526383e+000
2.734375e-001	1.731099e+000
2.812500e-001	6.413586e+000
2.890624e-001	-7.126753e-001
2.968749e-001	-9.414027e+000
3.046874e-001	-5.520658e+000
3.124999e-001	-3.202272e+000
3.203124e-001	-1.671695e+000
3.281249e-001	2.219969e+000
3.359374e-001	4.536722e+000
3.437499e-001	8.427449e+000
3.515623e-001	9.168919e+000
3.593748e-001	2.825076e+000
3.671873e-001	-3.519067e+000
3.749998e-001	-4.172063e-001
3.828123e-001	3.471551e+000
3.906248e-001	-6.809646e+000
3.984373e-001	-1.551674e+001
4.062497e-001	-1.162886e+001
4.140622e-001	-7.741143e+000
4.218747e-001	-2.279204e+000
4.296872e-001	4.272089e-001
4.374997e-001	9.687701e-001
4.453122e-001	-1.933710e+000
4.531247e-001	-4.836190e+000
4.609372e-001	-7.246797e+000
4.687496e-001	-8.083059e+000
4.765621e-001	-1.206812e+001
4.843746e-001	-1.211709e+001
4.921871e-001	-2.719514e+000
