    ms         	pN
0.000000e+000	-1.839699e+000
7.812500e-003	-6.566291e+000
1.562500e-002	-7.358027e+000
2.343750e-002	-2.640429e+000
3.125000e-002	1.288495e+000
3.906250e-002	1.279718e+000
4.687500e-002	1.269535e+000
5.468751e-002	-1.103836e+000
6.250000e-002	-9.776608e+000
7.031250e-002	-1.608904e+001
7.812501e-002	-1.610482e+001
8.593751e-002	-1.533473e+001
9.375001e-002	-1.535327e+001
1.015625e-001	-9.075125e+000
1.093750e-001	3.506459e-001
1.171875e-001	-2.033652e+000
1.250000e-001	-4.830342e-001
1.328125e-001	1.051332e+001
1.406250e-001	1.048685e+001
1.484375e-001	4.948333e+000
1.562500e-001	1.770329e+000
1.640625e-001	1.655544e-001
1.718750e-001	9.213745e-001
1.796875e-001	4.824962e+000
1.875000e-001	1.030190e+001
1.953125e-001	1.341590e+001
2.031250e-001	1.259250e+001
2.109375e-001	1.491702e+001
2.187500e-001	1.724040e+001
2.265625e-001	1.956273e+001
2.343750e-001	1.794775e+001
2.421875e-001	6.884696e+000
2.500000e-001	5.441909e-001
2.578125e-001	3.649714e+000
2.656250e-001	5.179787e+000
2.734375e-001	1.198195e+000
2.812500e-001	1.151952e+000
2.890624e-001	-2.044171e+000
2.968749e-001	-7.602895e+000
3.046874e-001	-9.226137e+000
3.124999e-001	-1.242468e+001
3.203124e-001	-7.751446e+000
3.281249e-001	3.219095e+000
3.359374e-001	1.025268e+001
3.437499e-001	9.413090e+000
3.515623e-001	6.211095e+000
3.593748e-001	6.944808e+000
3.671873e-001	1.379900e+000
3.749998e-001	-8.909042e+000
3.828123e-001	-1.290044e+001
3.906248e-001	-1.610508e+001
3.984373e-001	-1.773563e+001
4.062497e-001	-1.543032e+001
4.140622e-001	-1.233809e+001
4.218747e-001	-1.396971e+001
4.296872e-001	-1.245263e+001
4.374997e-001	-8.574067e+000
4.453122e-001	-3.908535e+000
4.531247e-001	7.569849e-001
4.609372e-001	4.634996e+000
4.687496e-001	7.725665e+000
4.765621e-001	7.667210e+000
4.843746e-001	1.075772e+001
4.921871e-001	1.778449e+001
4.999996e-001	1.615150e+001
5.078121e-001	2.709775e+000
5.156246e-001	-4.433825e+000
5.234372e-001	-1.343000e+000
5.312497e-001	9.606888e-001
5.390622e-001	2.477348e+000
5.468747e-001	3.994236e+000
5.546872e-001	1.575139e+000
5.624997e-001	-5.638961e-002
5.703123e-001	-5.623879e+000
5.781248e-001	-5.680221e+000
5.859373e-001	4.498116e+000
5.937498e-001	6.017153e+000
6.015623e-001	4.387594e+000
6.093748e-001	4.333078e+000
6.171874e-001	4.279102e+000
6.249999e-001	4.225691e+000
6.328124e-001	2.598377e+000
6.406249e-001	-2.177280e+000
6.484374e-001	-6.952325e+000
6.562499e-001	-3.854139e+000
6.640624e-001	3.968299e+000
6.718750e-001	-1.591770e+000
6.796875e-001	-8.725596e+000
6.875000e-001	-5.624323e+000
6.953125e-001	-9.476721e-001
7.031250e-001	2.155305e+000
7.109375e-001	4.471975e+000
7.187501e-001	6.789545e+000
7.265626e-001	5.959070e+000
7.343751e-001	5.129581e+000
7.421876e-001	1.939317e+000
7.500001e-001	-9.122401e+000
7.578126e-001	-1.703408e+001
7.656252e-001	-1.549766e+001
7.734377e-001	-1.474737e+001
7.812502e-001	-1.871950e+001
7.890627e-001	-1.954145e+001
7.968752e-001	-1.091521e+001
8.046877e-001	-1.330931e+001
8.125002e-001	-1.963847e+001
8.203128e-001	-1.258311e+001
8.281253e-001	-3.164735e+000
8.359378e-001	1.097839e+001
8.437503e-001	2.669731e+001
8.515628e-001	4.556652e+001
8.593753e-001	6.364981e+001
8.671879e-001	8.252164e+001
8.750004e-001	9.509681e+001
8.828129e-001	1.053116e+002
8.906254e-001	1.218257e+002
8.984379e-001	1.446392e+002
9.062504e-001	1.643052e+002
9.140630e-001	1.792489e+002
9.218755e-001	1.894706e+002
9.296880e-001	1.957574e+002
9.375005e-001	1.988966e+002
9.453130e-001	2.004627e+002
9.531255e-001	1.973067e+002
9.609381e-001	2.028119e+002
9.687506e-001	2.122548e+002
9.765631e-001	2.161884e+002
9.843756e-001	2.193362e+002
9.921881e-001	2.201228e+002
1.000001e+000	2.154009e+002
1.007813e+000	2.106805e+002
1.015626e+000	2.035997e+002
1.023438e+000	1.933713e+002
1.031251e+000	1.776336e+002
1.039063e+000	1.603228e+002
1.046876e+000	1.398644e+002
1.054688e+000	1.186202e+002
1.062501e+000	9.737740e+001
1.070313e+000	7.692322e+001
1.078126e+000	5.647043e+001
1.085938e+000	3.365726e+001
1.093751e+000	1.241997e+001
1.101563e+000	-1.730690e+000
1.109376e+000	-1.709460e+000
1.117188e+000	-3.261399e+000
1.125001e+000	-8.748291e+000
1.132813e+000	-1.265938e+001
1.140626e+000	-1.420741e+001
1.148438e+000	-1.496691e+001
1.156251e+000	-8.639882e+000
1.164063e+000	-7.371117e-001
1.171876e+000	-2.280153e+000
1.179688e+000	-3.034748e+000
1.187501e+000	-1.008617e+001
1.195314e+000	-5.327678e+000
1.203126e+000	3.368235e+000
1.210939e+000	1.049077e+001
1.218751e+000	9.741882e+000
1.226564e+000	2.696038e+000
1.234376e+000	-3.561503e+000
1.242189e+000	3.565262e+000
1.250001e+000	1.069305e+001
1.257814e+000	7.587524e+000
1.265626e+000	1.333922e+000
1.273439e+000	1.379264e+000
1.281251e+000	3.000009e+000
1.289064e+000	2.259859e+000
1.296876e+000	-3.202956e+000
1.304689e+000	-1.023948e+001
1.312501e+000	-8.615423e+000
1.320314e+000	-1.479867e+000
1.328126e+000	1.720123e+000
1.335939e+000	3.346308e+000
1.343751e+000	-2.112089e+000
1.351564e+000	1.877116e+000
1.359376e+000	2.717929e+000
1.367189e+000	-1.164177e+000
1.375001e+000	-2.684054e+000
1.382814e+000	-8.926898e+000
1.390626e+000	-1.280756e+001
1.398439e+000	-5.666243e+000
1.406251e+000	4.624452e+000
1.414064e+000	1.491556e+001
1.421876e+000	1.575994e+001
1.429689e+000	7.157578e+000
1.437502e+000	3.278979e+000
1.445314e+000	1.878773e-001
1.453127e+000	4.969467e+000
1.460939e+000	1.290026e+001
1.468752e+000	1.295862e+001
1.476564e+000	5.144519e+000
1.484377e+000	-3.456746e+000
1.492189e+000	-7.334492e+000
1.500002e+000	-1.042503e+001
1.507814e+000	-1.272836e+001
1.515627e+000	-1.424452e+001
1.523439e+000	-1.654809e+001
1.531252e+000	-1.412827e+001
1.539064e+000	-6.197898e+000
1.546877e+000	3.306729e+000
1.554689e+000	1.123660e+001
1.562502e+000	1.365542e+001
1.570314e+000	7.414105e+000
1.578127e+000	3.851569e-001
1.585939e+000	-3.495171e+000
1.593752e+000	-5.014172e+000
1.601564e+000	-1.204443e+001
1.609377e+000	-1.435166e+001
1.617189e+000	-5.637904e+000
1.625002e+000	5.437022e+000
1.632814e+000	1.493688e+001
1.640627e+000	1.420181e+001
1.648439e+000	8.742539e+000
1.656252e+000	9.208342e-001
1.664064e+000	-8.476130e+000
1.671877e+000	-1.000130e+001
1.679690e+000	-2.867476e+000
1.687502e+000	3.478264e+000
1.695315e+000	6.674147e+000
1.703127e+000	8.294677e+000
1.710940e+000	1.227603e+001
1.718752e+000	1.704374e+001
1.726565e+000	1.157619e+001
1.734377e+000	-1.764865e+000
1.742190e+000	-1.431968e+001
1.750002e+000	-2.293925e+001
1.757815e+000	-1.896382e+001
1.765627e+000	-1.026597e+001
1.773440e+000	-9.441753e+000
1.781252e+000	-1.098040e+001
1.789065e+000	-9.371206e+000
1.796877e+000	-7.763166e+000
1.804690e+000	-3.007298e+000
1.812502e+000	-6.144018e-001
1.820315e+000	-3.733482e+000
1.828127e+000	-1.343060e+000
1.835940e+000	7.344123e+000
1.843752e+000	1.996630e+001
1.851565e+000	2.786367e+001
1.859377e+000	3.339800e+001
1.867190e+000	3.420746e+001
1.875002e+000	3.029209e+001
1.882815e+000	1.929006e+001
1.890627e+000	8.286715e+000
1.898440e+000	-1.143523e+000
1.906252e+000	-5.851599e+000
1.914065e+000	-6.624843e+000
1.921877e+000	-6.612210e+000
1.929690e+000	-3.451954e+000
1.937503e+000	4.941056e-001
