    ms         	pN
0.000000e+000	-2.948314e+000
7.812500e-003	-3.736881e+000
1.562500e-002	-6.100381e+000
2.343750e-002	-1.003873e+001
3.125000e-002	-1.004231e+001
3.906250e-002	-8.472383e+000
4.687500e-002	-6.903152e+000
5.468751e-002	-3.760404e+000
6.250000e-002	-7.702249e+000
7.031250e-002	-1.164478e+001
7.812501e-002	-1.086534e+001
8.593751e-002	-1.087370e+001
9.375001e-002	-1.166985e+001
1.015625e-001	-6.956888e+000
1.093750e-001	-9.328554e+000
1.171875e-001	-1.799764e+001
1.250000e-001	-2.037059e+001
1.328125e-001	-1.093763e+001
1.406250e-001	-5.440793e+000
1.484375e-001	-4.667237e+000
1.562500e-001	-7.042625e+000
1.640625e-001	-5.483157e+000
1.718750e-001	7.983045e-001
1.796875e-001	4.717911e+000
1.875000e-001	7.062763e+000
1.953125e-001	7.045711e+000
2.031250e-001	3.879667e+000
2.109375e-001	9.371242e+000
2.187500e-001	1.250101e+001
2.265625e-001	6.972090e+000
2.343750e-001	9.313652e+000
2.421875e-001	4.570861e+000
2.500000e-001	-6.469255e+000
2.578125e-001	-9.638817e+000
2.656250e-001	-6.512051e+000
2.734375e-001	-5.747009e+000
2.812500e-001	-1.046942e+000
2.890624e-001	2.078502e+000
2.968749e-001	2.842284e+000
3.046874e-001	7.541138e+000
3.124999e-001	1.223967e+001
3.203124e-001	1.221518e+001
3.281249e-001	1.297743e+001
3.359374e-001	1.373938e+001
3.437499e-001	6.629982e+000
3.515623e-001	-5.989415e+000
3.593748e-001	-1.546073e+001
3.671873e-001	-1.706128e+001
3.749998e-001	-1.157818e+001
3.828123e-001	-6.095313e+000
3.906248e-001	2.535695e+000
3.984373e-001	8.805197e+000
4.062497e-001	1.035191e+001
4.140622e-001	1.189851e+001
4.218747e-001	1.108356e+001
4.296872e-001	1.577819e+001
4.374997e-001	1.299525e+001
4.453122e-001	1.198314e+001
4.531247e-001	1.097105e+001
4.609372e-001	3.858774e+000
4.687496e-001	-2.466421e+000
4.765621e-001	-9.206780e-001
4.843746e-001	2.986296e+000
4.921871e-001	2.957801e+000
4.999996e-001	5.680629e-001
5.078121e-001	-1.821699e+000
5.156246e-001	2.085407e+000
5.234372e-001	4.418383e+000
5.312497e-001	9.112710e+000
5.390622e-001	1.616845e+001
5.468747e-001	2.165012e+001
5.546872e-001	1.611248e+001
5.624997e-001	8.213670e+000
5.703123e-001	6.611862e+000
5.781248e-001	2.648907e+000
5.859373e-001	-4.462224e+000
5.937498e-001	-5.276307e+000
6.015623e-001	-5.805152e-001
6.093748e-001	5.689767e+000
6.171874e-001	4.089291e+000
6.249999e-001	-2.233550e+000
6.328124e-001	-3.046336e+000
6.406249e-001	-1.497543e+000
6.484374e-001	-3.096818e+000
6.562499e-001	-1.256679e+001
6.640624e-001	-2.046221e+001
6.718750e-001	-2.048623e+001
6.796875e-001	-1.736142e+001
6.875000e-001	-1.423626e+001
6.953125e-001	-1.425909e+001
7.031250e-001	-1.113311e+001
7.109375e-001	-1.709832e+000
7.187501e-001	2.991231e+000
7.265626e-001	2.183056e+000
7.343751e-001	1.375421e+000
7.421876e-001	2.929534e+000
7.500001e-001	5.486339e-001
7.578126e-001	-6.554320e+000
7.656252e-001	-1.365677e+001
7.734377e-001	-1.524897e+001
7.812502e-001	-1.841481e+001
7.890627e-001	-1.685752e+001
7.968752e-001	-1.136413e+001
8.046877e-001	-1.059276e+001
8.125002e-001	-9.033721e+000
8.203128e-001	-9.048287e+000
8.281253e-001	-1.142357e+001
8.359378e-001	-3.565886e+000
8.437503e-001	7.440751e+000
8.515628e-001	1.529969e+001
8.593753e-001	1.843662e+001
8.671879e-001	2.393552e+001
8.750004e-001	2.707374e+001
8.828129e-001	3.336105e+001
8.906254e-001	4.515872e+001
8.984379e-001	5.459574e+001
9.062504e-001	6.088505e+001
9.140630e-001	6.245240e+001
9.218755e-001	6.480758e+001
9.296880e-001	6.873760e+001
9.375005e-001	7.345543e+001
9.453130e-001	7.974815e+001
9.531255e-001	8.446735e+001
9.609381e-001	8.603887e+001
9.687506e-001	8.761106e+001
9.765631e-001	8.603556e+001
9.843756e-001	8.918335e+001
9.921881e-001	9.311973e+001
1.000001e+000	8.918499e+001
1.007813e+000	7.816710e+001
