    ms         	pN
0.000000e+000	2.301347e+000
7.812500e-003	-3.217630e+000
1.562500e-002	1.498600e+000
2.343750e-002	2.274185e+000
3.125000e-002	-5.616134e+000
3.906250e-002	-1.114671e+001
4.687500e-002	-1.116726e+001
5.468751e-002	-5.677759e+000
6.250000e-002	-3.341301e+000
7.031250e-002	-3.370348e+000
7.812501e-002	-6.552434e+000
8.593751e-002	-6.587053e+000
9.375001e-002	-6.624422e+000
1.015625e-001	-5.876948e+000
1.093750e-001	1.955720e+000
1.171875e-001	7.423099e+000
1.250000e-001	2.869554e-001
1.328125e-001	-4.489122e+000
1.406250e-001	-6.905193e+000
1.484375e-001	-1.011136e+001
1.562500e-001	-7.019642e+000
1.640625e-001	-5.505516e+000
1.718750e-001	-5.568966e+000
1.796875e-001	-2.484577e+000
1.875000e-001	-1.902069e-001
1.953125e-001	-1.835893e+000
2.031250e-001	-3.483884e+000
2.109375e-001	-2.771461e+000
2.187500e-001	-4.861922e-001
2.265625e-001	2.218600e-001
2.343750e-001	4.078004e+000
2.421875e-001	1.631624e+000
2.500000e-001	-2.391851e+000
2.578125e-001	-5.629739e+000
2.656250e-001	-1.781544e+000
2.734375e-001	6.002491e+000
2.812500e-001	-3.911489e-001
2.890624e-001	-4.423930e+000
2.968749e-001	-6.095709e+000
3.046874e-001	-3.831348e+000
3.124999e-001	-1.568618e+000
3.203124e-001	-9.491130e-002
3.281249e-001	1.377391e+000
3.359374e-001	4.423354e+000
3.437499e-001	3.530211e+000
3.515623e-001	5.786071e+000
3.593748e-001	7.253149e+000
3.671873e-001	7.143997e+000
3.749998e-001	1.333417e+001
3.828123e-001	2.031095e+001
3.906248e-001	1.704859e+001
3.984373e-001	1.221026e+001
4.062497e-001	1.130887e+001
4.140622e-001	9.619219e+000
4.218747e-001	5.566228e+000
4.296872e-001	-8.499629e-001
4.374997e-001	4.152826e+000
4.453122e-001	8.958083e+000
4.531247e-001	1.376334e+001
4.609372e-001	1.207073e+001
4.687496e-001	1.431571e+001
4.765621e-001	1.577294e+001
4.843746e-001	1.250477e+001
4.921871e-001	6.873901e+000
4.999996e-001	-3.320214e-001
5.078121e-001	-2.024947e+000
5.156246e-001	2.200828e-001
5.234372e-001	4.040419e+000
5.312497e-001	7.861139e+000
5.390622e-001	1.168227e+001
5.468747e-001	8.415873e+000
5.546872e-001	4.246632e-001
5.624997e-001	-1.265464e+000
5.703123e-001	1.952622e-001
5.781248e-001	-7.058548e-001
5.859373e-001	-2.393761e+000
5.937498e-001	-4.868359e+000
6.015623e-001	-7.341997e+000
6.093748e-001	-9.814566e+000
6.171874e-001	-1.386122e+001
6.249999e-001	-1.318141e+001
6.328124e-001	-1.486301e+001
6.406249e-001	-1.260555e+001
6.484374e-001	-7.196544e+000
6.562499e-001	-1.044923e+001
6.640624e-001	-8.975122e+000
6.718750e-001	-1.986629e+000
6.796875e-001	8.941175e+000
6.875000e-001	8.057410e+000
6.953125e-001	5.600187e+000
7.031250e-001	4.719880e+000
7.109375e-001	3.053817e+000
7.187501e-001	6.020336e-001
7.265626e-001	-7.360682e+000
7.343751e-001	-1.295875e+001
7.421876e-001	-9.891658e+000
7.500001e-001	-6.035021e+000
7.578126e-001	-7.689076e+000
7.656252e-001	-1.091606e+001
7.734377e-001	-1.020304e+001
7.812502e-001	-8.700235e+000
7.890627e-001	-1.585820e+001
7.968752e-001	-2.222629e+001
8.046877e-001	-2.544173e+001
8.125002e-001	-1.920406e+001
8.203128e-001	-1.060132e+001
8.281253e-001	-5.933830e+000
8.359378e-001	-1.263819e+000
8.437503e-001	6.559027e+000
8.515628e-001	1.123422e+001
8.593753e-001	1.669965e+001
8.671879e-001	3.161838e+001
8.750004e-001	4.417715e+001
8.828129e-001	5.358837e+001
8.906254e-001	6.221480e+001
8.984379e-001	6.926890e+001
9.062504e-001	7.790088e+001
9.140630e-001	8.889835e+001
9.218755e-001	9.753595e+001
9.296880e-001	1.046013e+002
9.375005e-001	1.085193e+002
9.453130e-001	1.108650e+002
9.531255e-001	1.092758e+002
9.609381e-001	1.100522e+002
9.687506e-001	1.139817e+002
9.765631e-001	1.147638e+002
9.843756e-001	1.147613e+002
9.921881e-001	1.163376e+002
1.000001e+000	1.155533e+002
1.007813e+000	1.124093e+002
1.015626e+000	1.092681e+002
1.023438e+000	9.982940e+001
1.031251e+000	8.645578e+001
1.039063e+000	7.229756e+001
1.046876e+000	6.207986e+001
1.054688e+000	5.265265e+001
1.062501e+000	3.614022e+001
1.070313e+000	2.671859e+001
1.078126e+000	3.068821e+001
1.085938e+000	3.544812e+001
1.093751e+000	3.469798e+001
1.101563e+000	3.001278e+001
1.109376e+000	2.848044e+001
1.117188e+000	2.458822e+001
1.125001e+000	1.833592e+001
1.132813e+000	1.051121e+001
1.140626e+000	7.414333e+000
1.148438e+000	5.107666e+000
1.156251e+000	4.407900e-001
1.164063e+000	-1.052392e+001
1.171876e+000	-2.148623e+001
1.179688e+000	-2.772083e+001
1.187501e+000	-2.686500e+001
1.195314e+000	-2.521930e+001
1.203126e+000	-2.672152e+001
1.210939e+000	-2.507127e+001
1.218751e+000	-1.869346e+001
1.226564e+000	-1.546373e+001
1.234376e+000	-1.223190e+001
1.242189e+000	-1.608598e+001
1.250001e+000	-1.600026e+001
1.257814e+000	-1.512500e+001
1.265626e+000	-1.267278e+001
1.273439e+000	-3.918201e+000
1.281251e+000	3.263020e+000
1.289064e+000	3.358016e+000
1.296876e+000	-8.358619e+000
1.304689e+000	-1.613581e+001
1.312501e+000	-1.131062e+001
1.320314e+000	-1.199681e+001
1.328126e+000	-1.189396e+001
1.335939e+000	-6.276838e+000
1.343751e+000	1.291702e-001
1.351564e+000	1.811096e+000
1.359376e+000	1.131551e+000
1.367189e+000	-2.697011e+000
1.375001e+000	-1.799268e+000
1.382814e+000	-1.688050e+000
1.390626e+000	-1.575895e+000
1.398439e+000	4.049989e+000
1.406251e+000	1.203937e+001
1.414064e+000	1.530412e+001
1.421876e+000	1.384423e+001
1.429689e+000	8.447142e+000
1.437502e+000	3.050575e+000
1.445314e+000	4.742443e+000
1.453127e+000	1.037248e+001
1.460939e+000	1.364014e+001
1.468752e+000	9.032533e+000
1.476564e+000	9.150403e+000
1.484377e+000	1.241856e+001
1.492189e+000	1.017388e+001
1.500002e+000	3.203833e+000
1.507814e+000	-2.978731e+000
1.515627e+000	-1.152417e+001
1.523439e+000	-1.613215e+001
1.531252e+000	-1.601509e+001
1.539064e+000	-1.196065e+001
1.546877e+000	-1.263198e+001
1.554689e+000	-1.094123e+001
1.562502e+000	-1.003867e+001
1.570314e+000	-2.836328e+000
1.578127e+000	2.002636e+000
1.585939e+000	-2.472329e-001
1.593752e+000	6.522510e-001
1.601564e+000	-8.119335e-001
1.609377e+000	1.660684e+000
1.617189e+000	-2.168226e+000
1.625002e+000	-4.423138e+000
1.632814e+000	-3.789127e-001
1.640627e+000	2.876554e+000
1.648439e+000	1.405333e+000
1.656252e+000	2.295331e+000
1.664064e+000	3.971445e+000
1.671877e+000	9.583808e+000
1.679690e+000	8.894176e+000
1.687502e+000	5.052646e+000
1.695315e+000	-1.940782e+000
1.703127e+000	-8.148467e+000
1.710940e+000	-6.482391e+000
1.718752e+000	6.946753e-001
1.726565e+000	7.869821e+000
1.734377e+000	1.031770e+001
1.742190e+000	5.675549e+000
1.750002e+000	4.969058e+000
1.757815e+000	8.198216e+000
1.765627e+000	9.850158e+000
1.773440e+000	1.386244e+001
1.781252e+000	1.078453e+001
1.789065e+000	3.766528e+000
1.796877e+000	-8.911383e-001
1.804690e+000	3.899385e+000
1.812502e+000	5.537289e+000
1.820315e+000	3.235006e+000
1.828127e+000	9.301523e-001
1.835940e+000	6.498314e+000
1.843752e+000	8.913653e+000
1.851565e+000	1.875771e+000
1.859377e+000	1.923239e+000
1.867190e+000	8.268499e+000
1.875002e+000	1.303592e+001
1.882815e+000	6.774894e+000
1.890627e+000	1.298666e+000
1.898440e+000	-1.817640e+000
1.906252e+000	-5.724314e+000
1.914065e+000	-5.696011e+000
1.921877e+000	-2.520325e+000
1.929690e+000	-1.350060e-001
1.937503e+000	1.459886e+000
1.945315e+000	7.777227e+000
1.953128e+000	1.094155e+001
1.960940e+000	1.016515e+001
1.968752e+000	6.235675e+000
1.976565e+000	2.303304e+000
1.984377e+000	2.305826e+000
1.992190e+000	3.879788e+000
