    ms         	pN
0.000000e+000	1.053660e+001
7.812500e-003	7.388120e+000
1.562500e-002	3.452459e+000
2.343750e-002	7.386571e+000
3.125000e-002	8.172483e+000
3.906250e-002	2.662164e+000
4.687500e-002	-4.873330e-001
5.468751e-002	1.871929e+000
6.250000e-002	1.083002e+000
7.031250e-002	-4.931209e-001
7.812501e-002	-3.643458e+000
8.593751e-002	1.862970e+000
9.375001e-002	5.008240e+000
1.015625e-001	6.579284e+000
1.093750e-001	8.937129e+000
1.171875e-001	1.208180e+001
1.250000e-001	1.207824e+001
1.328125e-001	1.522251e+001
1.406250e-001	1.443157e+001
1.484375e-001	6.557442e+000
1.562500e-001	-8.399867e+000
1.640625e-001	-2.493136e+001
1.718750e-001	-2.493604e+001
1.796875e-001	-2.257992e+001
1.875000e-001	-2.179791e+001
1.953125e-001	-2.022911e+001
2.031250e-001	-1.629947e+001
2.109375e-001	-4.500001e+000
2.187500e-001	9.660311e+000
2.265625e-001	8.867458e+000
2.343750e-001	8.074449e+000
2.421875e-001	4.920294e+000
2.500000e-001	-2.956012e+000
2.578125e-001	-9.258475e+000
2.656250e-001	-1.792207e+001
2.734375e-001	-2.186382e+001
2.812500e-001	-1.793567e+001
2.890624e-001	-7.711664e+000
2.968749e-001	9.382098e-001
3.046874e-001	1.717974e+000
3.124999e-001	-1.437359e+000
3.203124e-001	3.277178e+000
3.281249e-001	1.507460e+001
3.359374e-001	1.978895e+001
3.437499e-001	1.742017e+001
3.515623e-001	1.505130e+001
3.593748e-001	1.189535e+001
3.671873e-001	5.591301e+000
3.749998e-001	3.222193e+000
3.828123e-001	1.108402e+001
3.906248e-001	7.927736e+000
3.984373e-001	1.623411e+000
4.062497e-001	-2.319947e+000
4.140622e-001	-3.902375e+000
4.218747e-001	-6.271879e+000
4.296872e-001	-1.558387e+000
4.374997e-001	-1.337197e+001
4.453122e-001	-1.692208e+001
4.531247e-001	-2.047220e+001
4.609372e-001	-1.418485e+001
4.687496e-001	-7.110494e+000
4.765621e-001	-8.231610e-001
4.843746e-001	1.529136e+000
4.921871e-001	7.334492e-001
4.999996e-001	5.446785e+000
5.078121e-001	6.225108e+000
5.156246e-001	4.642452e+000
5.234372e-001	8.568795e+000
5.312497e-001	1.643019e+001
5.390622e-001	2.114361e+001
5.468747e-001	1.956106e+001
5.546872e-001	1.797856e+001
5.624997e-001	1.246107e+001
5.703123e-001	2.221626e+000
5.781248e-001	-8.804729e+000
5.859373e-001	-1.904405e+001
5.937498e-001	-2.928329e+001
6.015623e-001	-2.850443e+001
6.093748e-001	-2.142952e+001
6.171874e-001	-1.435455e+001
6.249999e-001	-7.279471e+000
6.328124e-001	-4.139293e+000
6.406249e-001	-2.573052e+000
6.484374e-001	-4.941716e+000
6.562499e-001	-3.375235e+000
6.640624e-001	-3.382668e+000
6.718750e-001	-2.603000e+000
6.796875e-001	-4.184203e+000
6.875000e-001	-4.191288e+000
6.953125e-001	-1.837249e+000
7.031250e-001	6.025907e+000
7.109375e-001	6.806211e+000
7.187501e-001	6.799655e+000
7.265626e-001	9.941250e+000
7.343751e-001	1.072198e+001
7.421876e-001	1.150286e+001
7.500001e-001	9.922891e+000
7.578126e-001	7.556063e+000
7.656252e-001	6.763403e+000
7.734377e-001	7.544920e+000
7.812502e-001	4.391605e+000
7.890627e-001	7.534450e+000
7.968752e-001	1.225148e+001
8.046877e-001	7.524662e+000
8.125002e-001	-3.499494e-001
8.203128e-001	-1.141397e+000
8.281253e-001	5.150343e+000
8.359378e-001	1.301629e+001
8.437503e-001	2.088241e+001
8.515628e-001	2.402674e+001
8.593753e-001	3.031923e+001
8.671879e-001	3.739893e+001
8.750004e-001	4.054385e+001
8.828129e-001	4.919797e+001
8.906254e-001	5.785227e+001
8.984379e-001	6.729381e+001
9.062504e-001	7.673551e+001
9.140630e-001	8.381644e+001
9.218755e-001	9.640659e+001
9.296880e-001	1.074229e+002
9.375005e-001	1.121435e+002
9.453130e-001	1.192252e+002
9.531255e-001	1.278812e+002
9.609381e-001	1.365374e+002
9.687506e-001	1.444068e+002
9.765631e-001	1.467674e+002
9.843756e-001	1.499152e+002
9.921881e-001	1.483414e+002
1.000001e+000	1.436196e+002
1.007813e+000	1.373240e+002
1.015626e+000	1.286677e+002
1.023438e+000	1.152896e+002
1.031251e+000	9.718965e+001
1.039063e+000	8.381194e+001
