    ms         	pN
0.000000e+000	-1.014115e+001
7.812500e-003	-1.171292e+001
1.562500e-002	-6.989514e+000
2.343750e-002	1.668597e+000
3.125000e-002	3.246545e+000
3.906250e-002	-6.820909e-001
4.687500e-002	-6.183452e+000
5.468751e-002	-9.323606e+000
6.250000e-002	-8.529013e+000
7.031250e-002	-3.012918e+000
7.812501e-002	4.864288e+000
8.593751e-002	1.038204e+001
9.375001e-002	5.672487e+000
1.015625e-001	3.324045e+000
1.093750e-001	3.336761e+000
1.171875e-001	9.899283e-001
1.250000e-001	-3.716407e+000
1.328125e-001	1.019336e+000
1.406250e-001	7.329461e+000
1.484375e-001	5.772538e+000
1.562500e-001	2.824524e-001
1.640625e-001	3.005725e-001
1.718750e-001	-5.188036e+000
1.796875e-001	-1.775694e+001
1.875000e-001	-2.245732e+001
1.953125e-001	-1.535532e+001
2.031250e-001	-4.318801e+000
2.109375e-001	5.144891e+000
2.187500e-001	1.303569e+001
2.265625e-001	8.338602e+000
2.343750e-001	2.855396e+000
2.421875e-001	-2.627136e+000
2.500000e-001	-4.962022e+000
2.578125e-001	5.714852e-001
2.656250e-001	5.318768e+000
2.734375e-001	1.412022e+000
2.812500e-001	-9.575126e+000
2.890624e-001	-1.741472e+001
2.968749e-001	-1.266534e+001
3.046874e-001	-5.555109e+000
3.124999e-001	-1.591517e+000
3.203124e-001	3.946060e+000
3.281249e-001	7.910528e+000
3.359374e-001	8.728250e+000
3.437499e-001	7.186061e+000
3.515623e-001	7.217798e+000
3.593748e-001	9.556814e-001
3.671873e-001	-1.372227e+000
3.749998e-001	2.340601e-001
3.828123e-001	-1.306435e+000
3.906248e-001	-2.059866e+000
3.984373e-001	-4.527260e-001
4.062497e-001	8.235645e+000
4.140622e-001	1.377715e+001
4.218747e-001	1.538493e+001
4.296872e-001	1.305897e+001
4.374997e-001	7.979454e+000
4.453122e-001	7.030737e+000
4.531247e-001	6.082020e+000
4.609372e-001	1.241119e+001
4.687496e-001	1.323291e+001
4.765621e-001	9.334017e+000
4.843746e-001	1.015588e+001
4.921871e-001	1.569839e+001
4.999996e-001	1.101273e+001
5.078121e-001	3.179973e+000
5.156246e-001	3.214928e+000
5.234372e-001	7.970460e+000
5.312497e-001	1.272596e+001
5.390622e-001	1.669447e+001
5.468747e-001	1.751579e+001
5.546872e-001	1.282950e+001
5.624997e-001	5.782661e+000
5.703123e-001	3.091822e-001
5.781248e-001	1.129689e+000
5.859373e-001	2.736757e+000
5.937498e-001	-1.950641e+000
6.015623e-001	-1.057223e+001
6.093748e-001	-1.368668e+001
6.171874e-001	-1.601469e+001
6.249999e-001	-1.519588e+001
6.328124e-001	-1.123038e+001
6.406249e-001	-4.904851e+000
6.484374e-001	-1.533303e-001
6.562499e-001	-3.269985e+000
6.640624e-001	-1.110779e+001
6.718750e-001	-1.265179e+001
6.796875e-001	-1.340945e+001
6.875000e-001	-1.259411e+001
6.953125e-001	-8.632101e+000
7.031250e-001	-2.310329e+000
7.109375e-001	-1.496486e+000
7.187501e-001	-6.190681e+000
7.265626e-001	-1.167224e+001
7.343751e-001	-1.794120e+001
7.421876e-001	-2.106360e+001
7.500001e-001	-2.103951e+001
7.578126e-001	-1.393503e+001
7.656252e-001	-3.684093e+000
